Idx, Name ID, ID from
23575, SWIFT J0624.1-6059, SIMBAD
24249, WISEA J114540.46-182714.8, NED
24250, Mrk  926, SIMBAD
26684, WISEA J000703.61+155423.7, NED
26685, PG 1048+342, NED
26698, LEDA   45656, SIMBAD
26701, LEDA  101275, SIMBAD
28360, 2MASX J14254352+3345275, SIMBAD
28430, 2MASX J14304627+3513133, SIMBAD
28431, 2MASX J14305363+3458364, SIMBAD
29397, 2MASS J16370022+2221140, SIMBAD
30120, 2XMM J094046.2+033929, SIMBAD
30579, 2MASS J10520202+5633010, SIMBAD
30977, 2XMM J094506.4+035552, SIMBAD
30980, 2MASX J10032788+5541535, SIMBAD
31365, 2XMM J115657.8+550820, SIMBAD
31633, 2MASS J10272497+1219196, SIMBAD
33900, [LGE2006] 12, SIMBAD
34207, NGC  5347, SIMBAD
34227, MCG-03-58-007, SIMBAD
34260, 2MASX J12390630-1610472, SIMBAD
34300, IRAS 11215-2806, SIMBAD
34352, Mrk  883, SIMBAD
34560, IRAS F00183-7111, SIMBAD
34567, LEDA   37102, SIMBAD
34770, 2MASX J00215355-7910077, SIMBAD
34892, SDSS J120424.54+192509.7, SIMBAD
35629, 2MASS J10434845+5811477, SIMBAD
36058, 2XMM J142930.6+425148, SIMBAD
36225, SDSS J161647.32+371621.2, SIMBAD
36785, IRAS 03450+0055, SIMBAD
36861, WISEA J145331.51+135358.6, NED
36894, 3C 265.0, SIMBAD
37240, LEDA   50824, SIMBAD
37386, LEDA 2817285, SIMBAD
37389, NGC  6810, SIMBAD
37402, ICRF J090933.4+425346, SIMBAD
37419, ESO 209-12, SIMBAD
37553, LEDA   17155, SIMBAD
38016, ESO 506-27, SIMBAD
38204, LEDA  178130, SIMBAD
38436, WISEA J183835.40+355220.1, NED
38493, WISEA J134133.37-002432.1, NED
38614, 3C 343, SIMBAD
38628, LEDA 3095998, SIMBAD
38637, Mrk   22, SIMBAD
38638, Mrk 1066, SIMBAD
39136, 2XMM J135315.8+634546, SIMBAD
39137, 2E  2389, SIMBAD
41589, WISEA J010835.15+214818.5, NED
41735, 3C 234.0, SIMBAD
41915, WISEA J105144.24+353930.7, NED
42045, 2MASX J12135486+0247529, SIMBAD
42459, LEDA   90127, SIMBAD
42638, MCG+00-25-010, SIMBAD
42770, UGC 11680, SIMBAD
42772, WISEA J222554.26+195836.9, NED
43648, ESO 148-2, SIMBAD

Total objects with lines emission of NeII or NeIII or NeV in IR  found:  347
Execution Time(seg): 1093.3780000209808
Execution Time(min): 18.222966667016347
Execution Time(hrs): 0.30371611111693914
