#Objects with Ne II, Ne III and Ne V emission lines in IR (Created on 2021-10-15):
#
LEDA  165630, NeII|NeIII|NeV
LEDA  165618, NeII|NeIII|NeV
IRAS 11119+3257, NeII|NeIII|NeV
2MASS J15011320+2329082, NeII|NeV
NGC  3367, NeV
NGC  4968, NeII|NeIII|NeV
NGC   660, NeII|NeIII|NeV
Z  41-20, NeII
M  58, NeII|NeIII|NeV
NGC  6926, NeV
NGC   973, NeII|NeIII|NeV
NGC  4138, NeII|NeIII|NeV
NGC  5395, NeV
NGC  7603, NeII|NeIII|NeV
NGC  7213, NeII|NeIII|NeV
UGC  1395, NeII|NeIII|NeV
NGC   863, NeII|NeIII|NeV
2MASS J08105865+7602424, NeII|NeIII|NeV
ICRF J052109.8+163822, NeII|NeIII|NeV
PG 0947+396, NeII
ESO 121-28, NeII
Ton  182, NeII
2MASX J14510879+2709272, NeII|NeV
NGC  1566, NeII|NeIII|NeV
Mrk  704, NeII|NeIII|NeV
7C 1821+6419, NeII|NeIII|NeV
NGC  4922, NeII|NeIII|NeV
WISEA J151653.23+190048.3, NeII|NeIII|NeV
IC 3639, NeII|NeIII|NeV
Mrk  609, NeII|NeIII|NeV
ESO 602-25, NeII|NeIII|NeV
NGC  1358, NeII|NeIII|NeV
NGC  3147, NeII|NeIII|NeV
NGC  1056, NeII|NeIII|NeV
ESO 511-30, NeII
SDSS J032845.99+011150.8, NeIII
NGC  5643, NeII|NeIII|NeV
SHOC 198, NeIII
3C 343.1, NeII|NeIII|NeV
SBS 1626+554, NeII|NeIII|NeV
2MASX J08035923+2345201, NeII|NeIII|NeV
NGC  3660, NeII|NeIII|NeV
LEDA   24384, NeII|NeIII
LEDA 2816291, NeIII
WISEA J135356.02+664800.5, NeIII
SDSS J143417.15+020742.3, NeIII
2MASX J22041914+0333511, NeII|NeIII|NeV
SWIFT J0624.1-6059, NeII
WISEA J114540.46-182714.8, NeII
Mrk  926, NeII|NeIII|NeV
WISEA J000703.61+155423.7, NeII|NeIII|NeV
PG 1048+342, NeII
LEDA   45656, NeII|NeV
LEDA  101275, NeII|NeIII|NeV
2MASX J14254352+3345275, NeII|NeIII
2MASX J14304627+3513133, NeII|NeIII
2MASX J14305363+3458364, NeII
2MASS J16370022+2221140, NeII|NeIII|NeV
2XMM J094046.2+033929, NeV
2MASS J10520202+5633010, NeII|NeIII
2XMM J094506.4+035552, NeV
2MASX J10032788+5541535, NeV
2XMM J115657.8+550820, NeV
2MASS J10272497+1219196, NeII|NeIII|NeV
[LGE2006] 12, NeIII
NGC  5347, NeII|NeIII|NeV
MCG-03-58-007, NeII|NeIII|NeV
2MASX J12390630-1610472, NeII
IRAS 11215-2806, NeII|NeIII|NeV
Mrk  883, NeII|NeIII
IRAS F00183-7111, NeII|NeIII|NeV
LEDA   37102, NeII|NeIII|NeV
2MASX J00215355-7910077, NeII|NeIII|NeV
SDSS J120424.54+192509.7, NeII|NeIII|NeV
2MASS J10434845+5811477, NeII|NeIII
2XMM J142930.6+425148, NeV
SDSS J161647.32+371621.2, NeII|NeIII|NeV
IRAS 03450+0055, NeII|NeIII|NeV
WISEA J145331.51+135358.6, NeII|NeIII|NeV
3C 265.0, NeII|NeIII|NeV
LEDA   50824, NeII|NeIII|NeV
LEDA 2817285, NeII|NeIII|NeV
NGC  6810, NeII|NeIII|NeV
ICRF J090933.4+425346, NeII|NeIII|NeV
ESO 209-12, NeII
LEDA   17155, NeII|NeIII|NeV
ESO 506-27, NeII
LEDA  178130, NeII
WISEA J183835.40+355220.1, NeII|NeIII|NeV
WISEA J134133.37-002432.1, NeV
3C 343, NeII|NeIII|NeV
LEDA 3095998, NeII
Mrk   22, NeII|NeIII
Mrk 1066, NeII|NeIII|NeV
2XMM J135315.8+634546, NeII|NeIII|NeV
2E  2389, NeII|NeV
WISEA J010835.15+214818.5, NeII|NeIII|NeV
3C 234.0, NeII|NeIII|NeV
WISEA J105144.24+353930.7, NeII|NeIII|NeV
2MASX J12135486+0247529, NeV
LEDA   90127, NeII|NeIII|NeV
MCG+00-25-010, NeII|NeIII
UGC 11680, NeII
WISEA J222554.26+195836.9, NeII|NeIII|NeV
ESO 148-2, NeII|NeIII|NeV
