Name_Id,id_from,RA,DEC,otype_txt,redshift,rvz_type,otypes,Ne_IR_info,SMB_sample
3C  84,3C  84,49.95066662585,41.51169690300999,Sy2,0.017558813971230724,c,*  |AGN|BiC|Bla|Bz?|G  |GiC|GiG|IR |QSO|Rad|Sy1|Sy2|SyG|UV |V* |X  |gam|rG |smm,NeII|NeIII|NeV,27488
LEDA 2149945,WISEA J095048.37+392650.4,147.7015846431,39.44735202736,Sy1,0.20553,z,*  |AGN|BH?|G  |IR |QSO|Sy1|UV |X  ,NeII,27696
NGC  7743,NGC  7743,356.08816991963,9.93415860824,Sy2,0.005644,z,*  |AGN|G  |IR |Sy2,NeII|NeIII|NeV,27740
Mrk   22,Mrk   22,147.3762900826565,55.5797144367656,Sy1,0.00539,z,*  |AGN|G  |H2G|HII|Sy1,NeII|NeIII,27957
LEDA   90127,LEDA   90127,160.12151706031,10.88838946391,Sy1,0.13635,z,AGN|G  |IR |LIN|Rad|Sy1|rG ,NeII|NeIII|NeV,28160
ESO 445-50,ESO 445-50,207.33025075051,-30.30950383764,Sy1,0.016131159643782634,c,AGN|G  |GiC|GiG|IR |Rad|Sy1|X  |gam,NeII|NeIII|NeV,28225
2MASS J16370022+2221140,2MASS J16370022+2221140,249.25089344849,22.35388112846,Sy1,0.21082,z,AGN|IR |Sy1|X  ,NeII|NeIII|NeV,28373
Mrk  817,Mrk  817,219.09200858818,58.79427637079,Sy1,0.15838,z,AGN|G  |IR |QSO|Rad|Sy1|UV |X  |rG ,NeII|NeIII|NeV,28459
IC 3078,IC 3078,184.0001827737,12.68729040715,Sy1,0.06614,z,*  |AGN|G  |IR |LIN|QSO|Rad|Sy1|X  |rG ,NeIII,28572
NGC  6810,NGC  6810,295.89340787022,-58.65560900015,Sy2,0.006541,z,*  |AGN|G  |GiG|IR |Rad|Sy2|cm ,NeII|NeIII|NeV,28764
2MASS J21035875-0728025,2MASS J21035875-0728025,315.99477344473,-7.46734507227,Sy1,0.13677,z,*  |AGN|G  |IR |QSO|Rad|Sy1|rG ,NeIII,28861
Mrk  273,Mrk  273,206.17578458379,55.88711006137,Sy2,0.03734,z,AGN|G  |IG |IR |Rad|Sy1|Sy2|SyG|X  |gam|rG ,NeII|NeIII|NeV,28984
LEDA   90429,LEDA   90429,354.75530833333323,36.35243611111111,SyG,0.064531,z,AGN|G  |IR |SyG,NeII|NeIII|NeV,29068
ICRF J134733.3+121724,ICRF J134733.3+121724,206.88901439033,12.290059502559998,Sy2,0.12118,z,*  |AGN|BiC|G  |GiP|IR |PoG|QSO|Rad|Sy1|Sy2|UV |X  |gam|rG ,NeII|NeIII|NeV,29184
NGC  3367,NGC  3367,161.64563684685,13.750855877079998,Sy1,0.010188917202929915,v,*  |AGN|G  |HI |IR |Rad|Sy1|SyG|X  ,NeV,29187
ESO 362-18,ESO 362-18,79.89921622546,-32.65775642238,Sy2,0.012582037670874296,c,AGN|G  |IR |Rad|Sy1|Sy2|X  ,NeII|NeIII|NeV,29381
IC  450,IC  450,103.05139427733,74.42697811881,Sy1,0.018676,z,AGN|G  |GiG|IR |Rad|Sy1|X  |gam,NeII|NeIII|NeV,29506
NGC  6951,NGC  6951,309.30884503687,66.10556942122,Sy2,0.00475,z,*  |AGN|G  |IR |Rad|Sy2|X  ,NeII|NeIII|NeV,29719
MCG-02-08-039,MCG-02-08-039,45.12761453037,-11.41584196307,Sy2,0.029947,z,*  |AGN|G  |IR |Rad|Sy2|X  ,NeII|NeIII|NeV,29935
2C  349,1Jy 0356+10,59.72682085409999,10.43410884888,Sy2,0.0309325926265982,v,AGN|G  |Rad|Sy2|X  ,NeV,30037
NGC  7674,NGC  7674,351.98623876832,8.77895936327,Sy2,0.029446778875956925,v,*  |AGN|G  |GiG|IG |IR |Rad|Sy2|X  ,NeII|NeIII|NeV,30097
NGC  6221,NGC  6221,253.1930375,-59.21694166666668,Sy2,0.005012018667422069,v,AGN|G  |IR |Sy2|SyG|X  ,NeII|NeIII|NeV,30302
ESO  12-21,ESO  12-21,10.19198817425,-79.24003722924,Sy1,0.033396756044708376,v,*  |AGN|G  |IR |Sy1|X  ,NeII|NeIII|NeV,30425
UGC  5101,UGC  5101,143.96501897691,61.35321927288,Sy1,0.03939,z,AGN|G  |IR |LIN|Rad|Sy1|SyG|X  |rG |smm,NeII|NeIII|NeV,30923
ESO 602-25,ESO 602-25,337.85614166666664,-19.034519444444445,SyG,0.02488315921126616,v,*  |AGN|EmG|G  |IR |Rad|SyG|smm,NeII|NeIII|NeV,31018
ESO 511-30,ESO 511-30,214.84335301316,-26.64475957669,Sy1,0.02268065409926745,v,AGN|EmG|G  |GiG|HI |IR |Rad|Sy1|X  ,NeII,31077
MCG-03-34-064,MCG-03-34-064,200.60190964765,-16.72846717289,Sy2,0.017092,z,*  |AGN|G  |IR |Rad|Sy1|Sy2|X  |gam,NeII|NeIII|NeV,31259
NGC  3516,NGC  3516,166.697763417,72.56869399296,Sy1,0.008816,z,*  |AGN|G  |GiG|IR |QSO|Sy1|SyG|V* |X  |gam,NeII|NeIII|NeV,31323
NGC  4593,NGC  4593,189.91434796126,-5.34417638568,Sy1,0.008343890665418963,v,AGN|G  |GiG|IR |QSO|Rad|Sy1|X  |gam,NeII|NeIII|NeV,32077
UGC  7064,UGC  7064,181.18052087216,31.17727299947,Sy2,0.025,z,AG?|AGN|EmG|G  |GiG|GrG|IR |Q? |Rad|Sy1|Sy2|X  |rG ,NeII|NeIII,32153
NGC  5135,NGC  5135,201.43357916666665,-29.833677777777776,Sy2,0.013754365725423101,v,AGN|G  |GiC|GiG|HI |IR |Rad|Sy2|UV |X  |smm,NeII|NeIII|NeV,32250
Mrk  231,Mrk  231,194.05930882622,56.87367732607,Sy1,0.04146535267408228,c,*  |AGN|G  |IR |Mas|QSO|Rad|Sy1|X  |gam,NeII|NeIII|NeV,32442
Mrk   79,Mrk   79,115.63675444617002,49.809662169380005,Sy1,0.02229642441273394,v,AGN|G  |IR |QSO|Rad|Sy1|X  ,NeII|NeIII|NeV,32555
LEDA   68751,LEDA   68751,335.95641666666666,-2.1035833333333334,Sy1,0.056392,z,AGN|G  |IR |QSO|Rad|Sy1|Sy2|X  |cm |gam|rG ,NeII|NeIII|NeV,32613
NGC  7319,NGC  7319,339.015009,33.975882,Sy2,0.022822645680251163,v,AGN|G  |GiG|IG |IR |Sy2|X  ,NeIII|NeV,32683
Mrk  863,Mrk  863,239.1079377989658,9.0551689745211,Sy1,0.04249,z,*  |AGN|G  |IR |Q? |QSO|Sy1|X  ,NeIII,32780
2MASX J18334627+4727027,2MASX J18334627+4727027,278.44289422774,47.45071278808,Sy1,0.160705,z,*  |AGN|G  |QSO|Rad|Sy1,NeII|NeIII|NeV,32967
Mrk 1066,Mrk 1066,44.994154294847,36.8205024943507,Sy2,0.012082,z,*  |AGN|G  |IR |QSO|Rad|Sy2|X  |gam,NeII|NeIII|NeV,32986
ESO 253-3,ESO 253-3,81.32524166666667,-46.00593333333333,Sy2,0.042489,z,AGN|G  |IR |Sy2,NeII|NeIII|NeV,33044
2MASS J01083516+2148186,2MASS J01083514+2148184,17.14646040352,21.80514089034,Sy1,0.285,z,*  |AGN|IR |Sy1,NeII|NeIII|NeV,33152
3C  22.0,3C  22.0,12.7375,51.20111111111111,Sy1,0.936501,z,AGN|G  |QSO|Rad|Sy1,NeII|NeIII|NeV,33455
2MASX J14304627+3513133,2MASX J14304627+3513133,217.69299622461,35.22043246220001,Sy2,0.0839,z,*  |EmG|G  |QSO|Sy2,NeII|NeIII,33508
Ton  1565,Ton  1565,198.07396957582,35.25585735198,Sy1,0.18295,z,*  |BH?|Bla|GiC|IR |Q? |QSO|Rad|Sy1|UV |X  |blu|gam,NeII|NeV,33530
Mrk  704,Mrk  704,139.60832166324,16.305453686,Sy1,0.029,z,AGN|G  |GiG|IR |QSO|Sy1|X  |gam,NeII|NeIII|NeV,33686
NGC  6240,NGC  6240,253.24525416666668,2.400986111111111,Sy2,0.024323,z,AGN|G  |IG |IR |LIN|Rad|Sy2|X  |gam|smm,NeII|NeIII|NeV,33746
ESO 121-28,ESO 121-28,95.93982840151,-60.97899538272999,Sy2,0.04277291779364556,v,AGN|G  |IR |Sy2|X  |gam,NeII,33761
NGC  7603,NGC  7603,349.73605761569,0.24388251836,Sy1,0.0325,z,*  |AGN|EmO|G  |GiG|IG |IR |QSO|Rad|Sy1|V* |X  ,NeII|NeIII|NeV,33882
UGC 12138,UGC 12138,340.07108716019,8.053761066659998,Sy1,0.025372442968898845,v,AGN|Em*|G  |GiG|IR |Sy1|Sy2|X  ,NeII|NeIII|NeV,33916
ESO 339-11,ESO 339-11,299.40634166666666,-37.935725,Sy2,0.01938785921716968,v,AGN|G  |GiG|IR |Rad|Sy2,NeV,34345
