#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
     8992.7525787415          9.0119e-16                       |         3.33371186e+14      2.43097755e-29                    
     8997.7525787415        8.935114e-16                       |         3.33185933e+14      2.41294536e-29                    
     9002.7525787415         8.95718e-16                       |         3.33000887e+14      2.42159341e-29                    
     9007.7525787415        8.871545e-16                       |         3.32816045e+14      2.40110666e-29                    
     9012.7525787415        9.094157e-16                       |         3.32631409e+14      2.46409042e-29                    
     9017.7525787415        9.351656e-16                       |         3.32446978e+14      2.53667278e-29                    
     9022.7525787415        9.464532e-16                       |         3.32262751e+14      2.57013855e-29                    
     9027.7525787415        9.525601e-16                       |         3.32078728e+14      2.58958981e-29                    
     9032.7525787415         9.56927e-16                       |         3.31894908e+14      2.60434391e-29                    
     9037.7525787415        9.921575e-16                       |         3.31711293e+14      2.70321638e-29                    
     9042.7525787415        1.031381e-15                       |         3.31527880e+14      2.81319423e-29                    
     9047.7525787415        1.085544e-15                       |         3.31344670e+14      2.96420447e-29                    
     9052.7525787415        1.196451e-15                       |         3.31161662e+14      3.27066086e-29                    
     9057.7525787415        1.467188e-15                       |         3.30978856e+14      4.01518878e-29                    
     9062.7525787415        2.038984e-15                       |         3.30796252e+14      5.58615987e-29                    
     9067.7525787415        2.795698e-15                       |         3.30613850e+14      7.66776642e-29                    
     9072.7525787415        3.172499e-15                       |         3.30431648e+14      8.71081769e-29                    
     9077.7525787415        2.780836e-15                       |         3.30249648e+14      7.64383591e-29                    
     9082.7525787415        1.954407e-15                       |         3.30067847e+14      5.37810495e-29                    
     9087.7525787415        1.256605e-15                       |         3.29886247e+14      3.46171307e-29                    
     9092.7525787415        1.023725e-15                       |         3.29704846e+14      2.82327610e-29                    
     9097.7525787415        9.158842e-16                       |         3.29523645e+14      2.52864642e-29                    
     9102.7525787415        9.083174e-16                       |         3.29342643e+14      2.51051260e-29                    
     9107.7525787415        8.677596e-16                       |         3.29161839e+14      2.40104982e-29                    
     9112.7525787415        9.191861e-16                       |         3.28981234e+14      2.54613778e-29                    
     9117.7525787415        8.823909e-16                       |         3.28800827e+14      2.44689832e-29                    
     9122.7525787415        8.830105e-16                       |         3.28620618e+14      2.45130277e-29                    
     9127.7525787415        8.518304e-16                       |         3.28440606e+14      2.36733735e-29                    
     9132.7525787415        8.857418e-16                       |         3.28260791e+14      2.46427868e-29                    
     9137.7525787415        8.796347e-16                       |         3.28081174e+14      2.44996815e-29                    
     9142.7525787415        8.727833e-16                       |         3.27901752e+14      2.43354655e-29                    
     9147.7525787415        8.516583e-16                       |         3.27722527e+14      2.37724257e-29                    
     9152.7525787415        8.455309e-16                       |         3.27543497e+14      2.36271982e-29                    
     9157.7525787415        8.225766e-16                       |         3.27364663e+14      2.30108922e-29                    
     9162.7525787415        8.139634e-16                       |         3.27186025e+14      2.27948160e-29                    
     9167.7525787415        7.859799e-16                       |         3.27007581e+14      2.20351750e-29                    
     9172.7525787415        7.911251e-16                       |         3.26829331e+14      2.22036216e-29                    
     9177.7525787415        7.885237e-16                       |         3.26651276e+14      2.21547441e-29                    
     9182.7525787415        8.476962e-16                       |         3.26473415e+14      2.38432415e-29                    
     9187.7525787415        8.713683e-16                       |         3.26295747e+14      2.45357668e-29                    
     9192.7525787415        8.779584e-16                       |         3.26118272e+14      2.47482433e-29                    
     9197.7525787415        8.367138e-16                       |         3.25940991e+14      2.36112877e-29                    
     9202.7525787415        8.307953e-16                       |         3.25763902e+14      2.34697692e-29                    
     9207.7525787415        8.304267e-16                       |         3.25587006e+14      2.34848549e-29                    
     9212.7525787415        8.400713e-16                       |         3.25410301e+14      2.37834175e-29                    
     9217.7525787415        8.351389e-16                       |         3.25233788e+14      2.36694465e-29                    
     9222.7525787415        8.685853e-16                       |         3.25057467e+14      2.46440957e-29                    
     9227.7525787415        9.276808e-16                       |         3.24881336e+14      2.63493403e-29                    
     9232.7525787415        9.637469e-16                       |         3.24705397e+14      2.74034148e-29                    
     9237.7525787415        9.630672e-16                       |         3.24529648e+14      2.74137558e-29                    
     9242.7525787415        9.347693e-16                       |         3.24354089e+14      2.66370663e-29                    
     9247.7525787415        9.563952e-16                       |         3.24178720e+14      2.72828093e-29                    
     9252.7525787415        9.318244e-16                       |         3.24003540e+14      2.66106371e-29                    
     9257.7525787415        8.908056e-16                       |         3.23828550e+14      2.54667411e-29                    
     9262.7525787415        8.811969e-16                       |         3.23653748e+14      2.52192626e-29                    
     9267.7525787415        8.976278e-16                       |         3.23479135e+14      2.57172456e-29                    
     9272.7525787415        9.632859e-16                       |         3.23304711e+14      2.76281524e-29                    
     9277.7525787415        9.452006e-16                       |         3.23130474e+14      2.71386886e-29                    
     9282.7525787415        9.561219e-16                       |         3.22956425e+14      2.74818593e-29                    
     9287.7525787415        9.584583e-16                       |         3.22782564e+14      2.75787002e-29                    
     9292.7525787415        9.797582e-16                       |         3.22608890e+14      2.82219456e-29                    
     9297.7525787415        9.758621e-16                       |         3.22435402e+14      2.81399756e-29                    
