#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
    15722.7525787415        7.821833e-16                       |         1.90674284e+14      6.44978140e-29                    
    15727.7525787415        7.835276e-16                       |         1.90613667e+14      6.46497622e-29                    
    15732.7525787415        7.867299e-16                       |         1.90553088e+14      6.49552677e-29                    
    15737.7525787415        7.889187e-16                       |         1.90492548e+14      6.51773911e-29                    
    15742.7525787415        7.892697e-16                       |         1.90432046e+14      6.52478290e-29                    
    15747.7525787415        7.820855e-16                       |         1.90371583e+14      6.46949967e-29                    
    15752.7525787415        7.687863e-16                       |         1.90311158e+14      6.36352617e-29                    
    15757.7525787415        7.650457e-16                       |         1.90250772e+14      6.33658447e-29                    
    15762.7525787415        7.648585e-16                       |         1.90190424e+14      6.33905486e-29                    
    15767.7525787415        7.695038e-16                       |         1.90130114e+14      6.38160115e-29                    
    15772.7525787415        7.646549e-16                       |         1.90069842e+14      6.34541094e-29                    
    15777.7525787415        7.544133e-16                       |         1.90009608e+14      6.26439183e-29                    
    15782.7525787415        7.561242e-16                       |         1.89949413e+14      6.28257859e-29                    
    15787.7525787415         7.54685e-16                       |         1.89889256e+14      6.27459410e-29                    
    15792.7525787415        7.679853e-16                       |         1.89829137e+14      6.38922034e-29                    
    15797.7525787415        7.690562e-16                       |         1.89769056e+14      6.40218160e-29                    
    15802.7525787415        7.762104e-16                       |         1.89709013e+14      6.46582928e-29                    
    15807.7525787415        7.730076e-16                       |         1.89649008e+14      6.44322532e-29                    
    15812.7525787415        7.733634e-16                       |         1.89589041e+14      6.45026952e-29                    
    15817.7525787415        7.727985e-16                       |         1.89529111e+14      6.44963477e-29                    
    15822.7525787415         7.73829e-16                       |         1.89469220e+14      6.46231868e-29                    
    15827.7525787415        7.720094e-16                       |         1.89409367e+14      6.45119827e-29                    
    15832.7525787415        7.701139e-16                       |         1.89349551e+14      6.43942527e-29                    
    15837.7525787415        7.679708e-16                       |         1.89289773e+14      6.42556189e-29                    
    15842.7525787415        7.651013e-16                       |         1.89230033e+14      6.40559557e-29                    
    15847.7525787415        7.693586e-16                       |         1.89170330e+14      6.44530499e-29                    
    15852.7525787415        7.713213e-16                       |         1.89110665e+14      6.46582555e-29                    
    15857.7525787415        7.742667e-16                       |         1.89051038e+14      6.49461112e-29                    
    15862.7525787415        7.728097e-16                       |         1.88991449e+14      6.48647817e-29                    
    15867.7525787415        7.691038e-16                       |         1.88931897e+14      6.45944334e-29                    
    15872.7525787415        7.702454e-16                       |         1.88872382e+14      6.47310873e-29                    
    15877.7525787415        7.648911e-16                       |         1.88812905e+14      6.43216184e-29                    
    15882.7525787415        7.585131e-16                       |         1.88753465e+14      6.38254554e-29                    
    15887.7525787415         7.42959e-16                       |         1.88694063e+14      6.25560156e-29                    
    15892.7525787415        7.340284e-16                       |         1.88634698e+14      6.18429793e-29                    
    15897.7525787415        7.302853e-16                       |         1.88575371e+14      6.15663379e-29                    
    15902.7525787415        7.379755e-16                       |         1.88516081e+14      6.22537968e-29                    
    15907.7525787415        7.457591e-16                       |         1.88456828e+14      6.29499678e-29                    
    15912.7525787415        7.498366e-16                       |         1.88397612e+14      6.33339465e-29                    
    15917.7525787415         7.53921e-16                       |         1.88338434e+14      6.37189537e-29                    
    15922.7525787415        7.620932e-16                       |         1.88279292e+14      6.44501119e-29                    
    15927.7525787415        7.722495e-16                       |         1.88220188e+14      6.53500513e-29                    
    15932.7525787415        7.794144e-16                       |         1.88161121e+14      6.59977827e-29                    
    15937.7525787415        7.819685e-16                       |         1.88102091e+14      6.62556189e-29                    
    15942.7525787415        7.816064e-16                       |         1.88043098e+14      6.62664972e-29                    
    15947.7525787415        7.794388e-16                       |         1.87984142e+14      6.61241793e-29                    
    15952.7525787415        7.730328e-16                       |         1.87925223e+14      6.56218510e-29                    
    15957.7525787415        7.715197e-16                       |         1.87866341e+14      6.55344667e-29                    
    15962.7525787415        7.667432e-16                       |         1.87807496e+14      6.51695606e-29                    
    15967.7525787415        7.633849e-16                       |         1.87748688e+14      6.49247745e-29                    
    15972.7525787415        7.563625e-16                       |         1.87689916e+14      6.43678218e-29                    
    15977.7525787415        7.551665e-16                       |         1.87631181e+14      6.43062811e-29                    
    15982.7525787415        7.563526e-16                       |         1.87572483e+14      6.44476005e-29                    
    15987.7525787415        7.708329e-16                       |         1.87513822e+14      6.57225455e-29                    
    15992.7525787415        7.805969e-16                       |         1.87455197e+14      6.65966762e-29                    
    15997.7525787415        7.886618e-16                       |         1.87396609e+14      6.73268123e-29                    
    16002.7525787415        7.816143e-16                       |         1.87338058e+14      6.67668940e-29                    
    16007.7525787415        7.744496e-16                       |         1.87279543e+14      6.61962186e-29                    
    16012.7525787415        7.714942e-16                       |         1.87221065e+14      6.59848065e-29                    
    16017.7525787415         7.68435e-16                       |         1.87162623e+14      6.57642081e-29                    
    16022.7525787415        7.701239e-16                       |         1.87104218e+14      6.59499013e-29                    
    16027.7525787415        7.704848e-16                       |         1.87045849e+14      6.60219930e-29                    
    16032.7525787415        7.735953e-16                       |         1.86987517e+14      6.63298934e-29                    
    16037.7525787415        7.666222e-16                       |         1.86929221e+14      6.57730082e-29                    
    16042.7525787415        7.642101e-16                       |         1.86870961e+14      6.56069487e-29                    
    16047.7525787415        7.623078e-16                       |         1.86812738e+14      6.54844371e-29                    
    16052.7525787415        7.651647e-16                       |         1.86754550e+14      6.57708184e-29                    
    16057.7525787415        7.649802e-16                       |         1.86696399e+14      6.57959276e-29                    
    16062.7525787415        7.642524e-16                       |         1.86638285e+14      6.57742715e-29                    
    16067.7525787415        7.698902e-16                       |         1.86580206e+14      6.63007373e-29                    
    16072.7525787415        7.643952e-16                       |         1.86522164e+14      6.58684988e-29                    
    16077.7525787415        7.701153e-16                       |         1.86464158e+14      6.64026986e-29                    
    16082.7525787415        7.718837e-16                       |         1.86406187e+14      6.65965800e-29                    
    16087.7525787415        7.842365e-16                       |         1.86348253e+14      6.77044328e-29                    
    16092.7525787415        7.883611e-16                       |         1.86290355e+14      6.81028287e-29                    
    16097.7525787415        7.923347e-16                       |         1.86232493e+14      6.84886282e-29                    
    16102.7525787415        7.942389e-16                       |         1.86174666e+14      6.86958797e-29                    
    16107.7525787415        7.909007e-16                       |         1.86116876e+14      6.84496380e-29                    
    16112.7525787415        7.926272e-16                       |         1.86059122e+14      6.86416546e-29                    
    16117.7525787415        7.925488e-16                       |         1.86001403e+14      6.86774684e-29                    
    16122.7525787415        7.950974e-16                       |         1.85943720e+14      6.89410681e-29                    
    16127.7525787415        7.910306e-16                       |         1.85886073e+14      6.86309932e-29                    
    16132.7525787415        7.857542e-16                       |         1.85828461e+14      6.82154822e-29                    
    16137.7525787415        7.765297e-16                       |         1.85770886e+14      6.74564484e-29                    
    16142.7525787415        7.753649e-16                       |         1.85713346e+14      6.73970074e-29                    
    16147.7525787415        7.771106e-16                       |         1.85655841e+14      6.75905999e-29                    
    16152.7525787415         7.74232e-16                       |         1.85598372e+14      6.73819375e-29                    
    16157.7525787415        7.751421e-16                       |         1.85540939e+14      6.75029151e-29                    
    16162.7525787415        7.744579e-16                       |         1.85483542e+14      6.74850788e-29                    
    16167.7525787415        7.833633e-16                       |         1.85426179e+14      6.83033219e-29                    
    16172.7525787415        7.775654e-16                       |         1.85368853e+14      6.78397295e-29                    
    16177.7525787415        7.694106e-16                       |         1.85311561e+14      6.71697666e-29                    
    16182.7525787415        7.642538e-16                       |         1.85254305e+14      6.67608244e-29                    
    16187.7525787415        7.681915e-16                       |         1.85197085e+14      6.71462725e-29                    
    16192.7525787415        7.597962e-16                       |         1.85139900e+14      6.64534867e-29                    
    16197.7525787415        7.575155e-16                       |         1.85082750e+14      6.62949337e-29                    
    16202.7525787415        7.476687e-16                       |         1.85025635e+14      6.54735812e-29                    
    16207.7525787415        7.456235e-16                       |         1.84968556e+14      6.53347870e-29                    
    16212.7525787415        7.420645e-16                       |         1.84911512e+14      6.50630565e-29                    
    16217.7525787415        7.489598e-16                       |         1.84854503e+14      6.57081355e-29                    
    16222.7525787415          7.6103e-16                       |         1.84797529e+14      6.68082602e-29                    
    16227.7525787415        7.629872e-16                       |         1.84740590e+14      6.70213703e-29                    
    16232.7525787415        7.595927e-16                       |         1.84683687e+14      6.67643179e-29                    
    16237.7525787415         7.63123e-16                       |         1.84626818e+14      6.71159401e-29                    
    16242.7525787415        7.681785e-16                       |         1.84569984e+14      6.76021800e-29                    
    16247.7525787415        7.700089e-16                       |         1.84513186e+14      6.78049866e-29                    
    16252.7525787415        7.698968e-16                       |         1.84456422e+14      6.78368476e-29                    
    16257.7525787415        7.691661e-16                       |         1.84399693e+14      6.78141700e-29                    
    16262.7525787415        7.739912e-16                       |         1.84342999e+14      6.82815589e-29                    
    16267.7525787415        7.694149e-16                       |         1.84286340e+14      6.79195821e-29                    
    16272.7525787415        7.783565e-16                       |         1.84229716e+14      6.87511385e-29                    
    16277.7525787415        7.783798e-16                       |         1.84173127e+14      6.87954536e-29                    
    16282.7525787415         7.82387e-16                       |         1.84116572e+14      6.91921091e-29                    
    16287.7525787415        7.811412e-16                       |         1.84060052e+14      6.91243670e-29                    
    16292.7525787415        7.807094e-16                       |         1.84003567e+14      6.91285789e-29                    
    16297.7525787415        7.878021e-16                       |         1.83947116e+14      6.97994291e-29                    
    16302.7525787415        7.884061e-16                       |         1.83890700e+14      6.98958107e-29                    
    16307.7525787415        7.748179e-16                       |         1.83834319e+14      6.87332957e-29                    
    16312.7525787415        7.528668e-16                       |         1.83777972e+14      6.68269961e-29                    
    16317.7525787415        7.463533e-16                       |         1.83721660e+14      6.62894538e-29                    
    16322.7525787415        7.563608e-16                       |         1.83665382e+14      6.72194730e-29                    
    16327.7525787415        7.722772e-16                       |         1.83609139e+14      6.86760535e-29                    
    16332.7525787415        7.736424e-16                       |         1.83552930e+14      6.88395980e-29                    
    16337.7525787415        7.786384e-16                       |         1.83496755e+14      6.93265747e-29                    
    16342.7525787415        7.764616e-16                       |         1.83440615e+14      6.91750831e-29                    
    16347.7525787415        7.691483e-16                       |         1.83384510e+14      6.85654755e-29                    
    16352.7525787415        7.676499e-16                       |         1.83328438e+14      6.84737677e-29                    
    16357.7525787415        7.677367e-16                       |         1.83272401e+14      6.85233942e-29                    
    16362.7525787415        7.743153e-16                       |         1.83216398e+14      6.91528150e-29                    
    16367.7525787415        7.747747e-16                       |         1.83160429e+14      6.92361371e-29                    
    16372.7525787415        7.734831e-16                       |         1.83104495e+14      6.91629522e-29                    
    16377.7525787415         7.70399e-16                       |         1.83048594e+14      6.89292603e-29                    
    16382.7525787415        7.662714e-16                       |         1.82992728e+14      6.86018230e-29                    
    16387.7525787415        7.710689e-16                       |         1.82936896e+14      6.90734708e-29                    
    16392.7525787415        7.753862e-16                       |         1.82881098e+14      6.95026127e-29                    
    16397.7525787415         7.81149e-16                       |         1.82825334e+14      7.00618878e-29                    
    16402.7525787415         7.84793e-16                       |         1.82769604e+14      7.04316535e-29                    
    16407.7525787415        7.968673e-16                       |         1.82713908e+14      7.15588740e-29                    
    16412.7525787415        8.126926e-16                       |         1.82658246e+14      7.30244755e-29                    
    16417.7525787415         8.34054e-16                       |         1.82602617e+14      7.49895725e-29                    
    16422.7525787415        8.654195e-16                       |         1.82547023e+14      7.78570371e-29                    
    16427.7525787415        9.099344e-16                       |         1.82491462e+14      8.19116522e-29                    
    16432.7525787415        9.589943e-16                       |         1.82435936e+14      8.63805478e-29                    
    16437.7525787415         1.00197e-15                       |         1.82380443e+14      9.03064754e-29                    
    16442.7525787415        1.012478e-15                       |         1.82324983e+14      9.13090732e-29                    
    16447.7525787415        1.000096e-15                       |         1.82269558e+14      9.02472786e-29                    
    16452.7525787415         9.54631e-16                       |         1.82214166e+14      8.61969626e-29                    
    16457.7525787415        9.089869e-16                       |         1.82158808e+14      8.21254908e-29                    
    16462.7525787415        8.621673e-16                       |         1.82103483e+14      7.79427537e-29                    
    16467.7525787415        8.333206e-16                       |         1.82048192e+14      7.53806851e-29                    
    16472.7525787415        8.139755e-16                       |         1.81992935e+14      7.36754809e-29                    
    16477.7525787415        8.027035e-16                       |         1.81937711e+14      7.26993298e-29                    
    16482.7525787415         7.86785e-16                       |         1.81882521e+14      7.13008728e-29                    
    16487.7525787415        7.747823e-16                       |         1.81827364e+14      7.02557557e-29                    
    16492.7525787415        7.669313e-16                       |         1.81772241e+14      6.95860277e-29                    
    16497.7525787415        7.674036e-16                       |         1.81717151e+14      6.96711052e-29                    
    16502.7525787415        7.697655e-16                       |         1.81662094e+14      6.99279047e-29                    
    16507.7525787415        7.756901e-16                       |         1.81607071e+14      7.05088199e-29                    
    16512.7525787415        7.808883e-16                       |         1.81552081e+14      7.10243322e-29                    
    16517.7525787415        7.818534e-16                       |         1.81497124e+14      7.11551826e-29                    
    16522.7525787415        7.807296e-16                       |         1.81442201e+14      7.10959301e-29                    
    16527.7525787415        7.726738e-16                       |         1.81387311e+14      7.04049327e-29                    
    16532.7525787415        7.697547e-16                       |         1.81332454e+14      7.01813920e-29                    
    16537.7525787415        7.614253e-16                       |         1.81277630e+14      6.94639666e-29                    
    16542.7525787415        7.643378e-16                       |         1.81222839e+14      6.97718410e-29                    
    16547.7525787415         7.60741e-16                       |         1.81168082e+14      6.94854951e-29                    
    16552.7525787415        7.643365e-16                       |         1.81113357e+14      6.98561010e-29                    
    16557.7525787415        7.585499e-16                       |         1.81058666e+14      6.93691269e-29                    
    16562.7525787415        7.594665e-16                       |         1.81004007e+14      6.94949019e-29                    
    16567.7525787415        7.581212e-16                       |         1.80949382e+14      6.94136909e-29                    
    16572.7525787415        7.562567e-16                       |         1.80894790e+14      6.92847771e-29                    
    16577.7525787415        7.595948e-16                       |         1.80840230e+14      6.96325959e-29                    
    16582.7525787415        7.578288e-16                       |         1.80785703e+14      6.95126177e-29                    
    16587.7525787415        7.626971e-16                       |         1.80731210e+14      7.00013617e-29                    
    16592.7525787415        7.640095e-16                       |         1.80676749e+14      7.01640952e-29                    
    16597.7525787415        7.682515e-16                       |         1.80622321e+14      7.05961936e-29                    
    16602.7525787415        7.735039e-16                       |         1.80567925e+14      7.11216781e-29                    
    16607.7525787415        7.723475e-16                       |         1.80513563e+14      7.10581298e-29                    
    16612.7525787415        7.666093e-16                       |         1.80459233e+14      7.05726740e-29                    
    16617.7525787415        7.592364e-16                       |         1.80404936e+14      6.99360169e-29                    
    16622.7525787415        7.488237e-16                       |         1.80350672e+14      6.90183795e-29                    
    16627.7525787415        7.513028e-16                       |         1.80296440e+14      6.92885400e-29                    
    16632.7525787415        7.562093e-16                       |         1.80242240e+14      6.97829884e-29                    
    16637.7525787415        7.754893e-16                       |         1.80188074e+14      7.16051780e-29                    
    16642.7525787415        7.800365e-16                       |         1.80133940e+14      7.20683425e-29                    
    16647.7525787415        7.845563e-16                       |         1.80079838e+14      7.25294919e-29                    
    16652.7525787415         7.70292e-16                       |         1.80025769e+14      7.12535886e-29                    
    16657.7525787415        7.583062e-16                       |         1.79971732e+14      7.01870060e-29                    
    16662.7525787415        7.457895e-16                       |         1.79917728e+14      6.90699357e-29                    
    16667.7525787415        7.454065e-16                       |         1.79863756e+14      6.90759014e-29                    
    16672.7525787415         7.52716e-16                       |         1.79809817e+14      6.97951193e-29                    
    16677.7525787415        7.548419e-16                       |         1.79755910e+14      7.00342284e-29                    
    16682.7525787415        7.541556e-16                       |         1.79702035e+14      7.00125142e-29                    
    16687.7525787415        7.520025e-16                       |         1.79648193e+14      6.98544832e-29                    
    16692.7525787415        7.564166e-16                       |         1.79594382e+14      7.03066264e-29                    
    16697.7525787415        7.639625e-16                       |         1.79540604e+14      7.10505395e-29                    
    16702.7525787415        7.705854e-16                       |         1.79486859e+14      7.17094130e-29                    
    16707.7525787415        7.711907e-16                       |         1.79433145e+14      7.18087141e-29                    
    16712.7525787415        7.691534e-16                       |         1.79379463e+14      7.16618849e-29                    
    16717.7525787415        7.647168e-16                       |         1.79325814e+14      7.12911653e-29                    
    16722.7525787415        7.568157e-16                       |         1.79272197e+14      7.05967904e-29                    
    16727.7525787415        7.505082e-16                       |         1.79218611e+14      7.00502887e-29                    
    16732.7525787415        7.493996e-16                       |         1.79165058e+14      6.99886363e-29                    
    16737.7525787415        7.511747e-16                       |         1.79111537e+14      7.01963507e-29                    
    16742.7525787415        7.598161e-16                       |         1.79058048e+14      7.10463067e-29                    
    16747.7525787415        7.619265e-16                       |         1.79004590e+14      7.12861971e-29                    
    16752.7525787415        7.668024e-16                       |         1.78951165e+14      7.17852320e-29                    
    16757.7525787415        7.621052e-16                       |         1.78897771e+14      7.13880910e-29                    
    16762.7525787415        7.620664e-16                       |         1.78844410e+14      7.14270607e-29                    
    16767.7525787415        7.658267e-16                       |         1.78791080e+14      7.18223338e-29                    
    16772.7525787415        7.737064e-16                       |         1.78737782e+14      7.26046048e-29                    
    16777.7525787415        7.841873e-16                       |         1.78684515e+14      7.36320126e-29                    
    16782.7525787415        7.905015e-16                       |         1.78631281e+14      7.42691371e-29                    
    16787.7525787415        7.865715e-16                       |         1.78578078e+14      7.39439458e-29                    
    16792.7525787415        7.785124e-16                       |         1.78524907e+14      7.32299282e-29                    
    16797.7525787415        7.674551e-16                       |         1.78471767e+14      7.22328303e-29                    
    16802.7525787415        7.691548e-16                       |         1.78418659e+14      7.24359091e-29                    
    16807.7525787415        7.741085e-16                       |         1.78365583e+14      7.29458223e-29                    
    16812.7525787415        7.777157e-16                       |         1.78312538e+14      7.33293450e-29                    
    16817.7525787415        7.671059e-16                       |         1.78259525e+14      7.23719937e-29                    
    16822.7525787415        7.602784e-16                       |         1.78206544e+14      7.17705150e-29                    
    16827.7525787415        7.625882e-16                       |         1.78153593e+14      7.20313596e-29                    
    16832.7525787415        7.693655e-16                       |         1.78100675e+14      7.27147111e-29                    
    16837.7525787415        7.673832e-16                       |         1.78047787e+14      7.25704523e-29                    
    16842.7525787415        7.564093e-16                       |         1.77994931e+14      7.15751543e-29                    
    16847.7525787415        7.500062e-16                       |         1.77942107e+14      7.10114043e-29                    
    16852.7525787415        7.413376e-16                       |         1.77889314e+14      7.02323197e-29                    
    16857.7525787415         7.40415e-16                       |         1.77836552e+14      7.01865435e-29                    
    16862.7525787415        7.357836e-16                       |         1.77783821e+14      6.97888971e-29                    
    16867.7525787415        7.397951e-16                       |         1.77731122e+14      7.02110051e-29                    
    16872.7525787415        7.473903e-16                       |         1.77678454e+14      7.09738932e-29                    
    16877.7525787415        7.523724e-16                       |         1.77625817e+14      7.14893557e-29                    
    16882.7525787415        7.566977e-16                       |         1.77573211e+14      7.19429466e-29                    
    16887.7525787415        7.531564e-16                       |         1.77520637e+14      7.16486780e-29                    
    16892.7525787415        7.557393e-16                       |         1.77468093e+14      7.19369706e-29                    
    16897.7525787415        7.542437e-16                       |         1.77415581e+14      7.18371146e-29                    
    16902.7525787415        7.564383e-16                       |         1.77363100e+14      7.20887797e-29                    
    16907.7525787415         7.63785e-16                       |         1.77310649e+14      7.28319920e-29                    
    16912.7525787415        7.683571e-16                       |         1.77258230e+14      7.33113126e-29                    
    16917.7525787415        7.753053e-16                       |         1.77205842e+14      7.40180069e-29                    
    16922.7525787415        7.725735e-16                       |         1.77153485e+14      7.38008073e-29                    
    16927.7525787415        7.652791e-16                       |         1.77101158e+14      7.31472080e-29                    
    16932.7525787415        7.569163e-16                       |         1.77048863e+14      7.23906170e-29                    
    16937.7525787415        7.529727e-16                       |         1.76996598e+14      7.20559910e-29                    
    16942.7525787415         7.54373e-16                       |         1.76944365e+14      7.22326202e-29                    
    16947.7525787415        7.577572e-16                       |         1.76892162e+14      7.25994946e-29                    
    16952.7525787415        7.688198e-16                       |         1.76839990e+14      7.37028535e-29                    
    16957.7525787415        7.706646e-16                       |         1.76787848e+14      7.39232913e-29                    
    16962.7525787415         7.64256e-16                       |         1.76735738e+14      7.33518054e-29                    
    16967.7525787415        7.550253e-16                       |         1.76683658e+14      7.25085876e-29                    
    16972.7525787415        7.547017e-16                       |         1.76631609e+14      7.25202320e-29                    
    16977.7525787415        7.513216e-16                       |         1.76579590e+14      7.22379763e-29                    
    16982.7525787415        7.507482e-16                       |         1.76527602e+14      7.22253675e-29                    
    16987.7525787415        7.458856e-16                       |         1.76475645e+14      7.17998228e-29                    
    16992.7525787415        7.546493e-16                       |         1.76423718e+14      7.26861954e-29                    
    16997.7525787415        7.581881e-16                       |         1.76371822e+14      7.30700267e-29                    
    17002.7525787415        7.674318e-16                       |         1.76319956e+14      7.40044026e-29                    
    17007.7525787415        7.662307e-16                       |         1.76268121e+14      7.39320422e-29                    
    17012.7525787415        7.621416e-16                       |         1.76216316e+14      7.35807372e-29                    
    17017.7525787415        7.618628e-16                       |         1.76164542e+14      7.35970615e-29                    
    17022.7525787415        7.678887e-16                       |         1.76112798e+14      7.42227679e-29                    
    17027.7525787415        7.771972e-16                       |         1.76061085e+14      7.51666482e-29                    
    17032.7525787415        7.774795e-16                       |         1.76009402e+14      7.52381170e-29                    
    17037.7525787415        7.766423e-16                       |         1.75957749e+14      7.52012312e-29                    
    17042.7525787415        7.724118e-16                       |         1.75906126e+14      7.48355015e-29                    
    17047.7525787415        7.669302e-16                       |         1.75854534e+14      7.43480192e-29                    
    17052.7525787415        7.606343e-16                       |         1.75802972e+14      7.37809398e-29                    
    17057.7525787415        7.530624e-16                       |         1.75751441e+14      7.30893132e-29                    
    17062.7525787415         7.53653e-16                       |         1.75699939e+14      7.31895226e-29                    
    17067.7525787415        7.446587e-16                       |         1.75648468e+14      7.23584475e-29                    
    17072.7525787415        7.455664e-16                       |         1.75597027e+14      7.24891014e-29                    
    17077.7525787415        7.496526e-16                       |         1.75545616e+14      7.29290878e-29                    
    17082.7525787415        7.588763e-16                       |         1.75494235e+14      7.38696408e-29                    
    17087.7525787415        7.509703e-16                       |         1.75442884e+14      7.31428622e-29                    
    17092.7525787415        7.485086e-16                       |         1.75391563e+14      7.29457682e-29                    
    17097.7525787415        7.489915e-16                       |         1.75340272e+14      7.30355394e-29                    
    17102.7525787415        7.562137e-16                       |         1.75289011e+14      7.37829241e-29                    
    17107.7525787415         7.49351e-16                       |         1.75237780e+14      7.31560938e-29                    
    17112.7525787415        7.441184e-16                       |         1.75186579e+14      7.26877259e-29                    
    17117.7525787415         7.44144e-16                       |         1.75135408e+14      7.27327100e-29                    
    17122.7525787415        7.520668e-16                       |         1.75084267e+14      7.35500336e-29                    
    17127.7525787415        7.590794e-16                       |         1.75033156e+14      7.42792077e-29                    
    17132.7525787415        7.627365e-16                       |         1.74982075e+14      7.46806538e-29                    
    17137.7525787415        7.652197e-16                       |         1.74931023e+14      7.49675253e-29                    
    17142.7525787415        7.708598e-16                       |         1.74880001e+14      7.55641511e-29                    
    17147.7525787415        7.716525e-16                       |         1.74829009e+14      7.56859873e-29                    
    17152.7525787415        7.738747e-16                       |         1.74778047e+14      7.59482184e-29                    
    17157.7525787415        7.667467e-16                       |         1.74727114e+14      7.52925512e-29                    
    17162.7525787415        7.611656e-16                       |         1.74676211e+14      7.47880710e-29                    
    17167.7525787415        7.536291e-16                       |         1.74625338e+14      7.40907253e-29                    
    17172.7525787415        7.520216e-16                       |         1.74574494e+14      7.39757601e-29                    
    17177.7525787415        7.567821e-16                       |         1.74523680e+14      7.44874030e-29                    
    17182.7525787415        7.651429e-16                       |         1.74472895e+14      7.53541753e-29                    
    17187.7525787415        7.731681e-16                       |         1.74422140e+14      7.61888484e-29                    
    17192.7525787415        7.742828e-16                       |         1.74371415e+14      7.63430900e-29                    
    17197.7525787415         7.70176e-16                       |         1.74320719e+14      7.59823410e-29                    
    17202.7525787415          7.6047e-16                       |         1.74270052e+14      7.50684187e-29                    
    17207.7525787415        7.591005e-16                       |         1.74219415e+14      7.49767962e-29                    
    17212.7525787415        7.523662e-16                       |         1.74168807e+14      7.43548368e-29                    
    17217.7525787415         7.49485e-16                       |         1.74118229e+14      7.41131319e-29                    
    17222.7525787415        7.436795e-16                       |         1.74067680e+14      7.35817701e-29                    
    17227.7525787415        7.475504e-16                       |         1.74017161e+14      7.40077201e-29                    
    17232.7525787415        7.478225e-16                       |         1.73966671e+14      7.40776384e-29                    
    17237.7525787415        7.443603e-16                       |         1.73916210e+14      7.37774743e-29                    
    17242.7525787415        7.455621e-16                       |         1.73865778e+14      7.39394663e-29                    
    17247.7525787415        7.486408e-16                       |         1.73815375e+14      7.42878543e-29                    
    17252.7525787415        7.579564e-16                       |         1.73765002e+14      7.52558574e-29                    
    17257.7525787415        7.547679e-16                       |         1.73714658e+14      7.49827206e-29                    
    17262.7525787415        7.519211e-16                       |         1.73664343e+14      7.47431952e-29                    
    17267.7525787415        7.478803e-16                       |         1.73614058e+14      7.43845986e-29                    
    17272.7525787415        7.459766e-16                       |         1.73563801e+14      7.42382292e-29                    
    17277.7525787415        7.437497e-16                       |         1.73513573e+14      7.40594701e-29                    
    17282.7525787415        7.494228e-16                       |         1.73463375e+14      7.46675708e-29                    
    17287.7525787415        7.460305e-16                       |         1.73413205e+14      7.43725985e-29                    
    17292.7525787415         7.43337e-16                       |         1.73363065e+14      7.41469518e-29                    
    17297.7525787415        7.335041e-16                       |         1.73312954e+14      7.32084485e-29                    
    17302.7525787415        7.303309e-16                       |         1.73262871e+14      7.29338882e-29                    
    17307.7525787415        7.322833e-16                       |         1.73212818e+14      7.31711334e-29                    
    17312.7525787415        7.288221e-16                       |         1.73162793e+14      7.28673665e-29                    
    17317.7525787415        7.280662e-16                       |         1.73112797e+14      7.28338431e-29                    
    17322.7525787415        7.242219e-16                       |         1.73062830e+14      7.24911107e-29                    
    17327.7525787415        7.227429e-16                       |         1.73012892e+14      7.23848378e-29                    
    17332.7525787415        7.203431e-16                       |         1.72962983e+14      7.21861320e-29                    
    17337.7525787415        7.231722e-16                       |         1.72913103e+14      7.25114551e-29                    
    17342.7525787415        7.285807e-16                       |         1.72863251e+14      7.30958995e-29                    
    17347.7525787415        7.422944e-16                       |         1.72813428e+14      7.45146934e-29                    
    17352.7525787415        7.594792e-16                       |         1.72763634e+14      7.62837315e-29                    
    17357.7525787415          7.7182e-16                       |         1.72713868e+14      7.75679495e-29                    
    17362.7525787415        7.742504e-16                       |         1.72664131e+14      7.78570397e-29                    
    17367.7525787415        7.673817e-16                       |         1.72614423e+14      7.72107873e-29                    
    17372.7525787415        7.622922e-16                       |         1.72564743e+14      7.67428707e-29                    
    17377.7525787415         7.50926e-16                       |         1.72515092e+14      7.56421137e-29                    
    17382.7525787415        7.324002e-16                       |         1.72465470e+14      7.38184373e-29                    
    17387.7525787415        7.115037e-16                       |         1.72415876e+14      7.17535449e-29                    
    17392.7525787415        6.994909e-16                       |         1.72366310e+14      7.05826569e-29                    
    17397.7525787415         6.92971e-16                       |         1.72316773e+14      6.99649707e-29                    
    17402.7525787415        6.801122e-16                       |         1.72267265e+14      6.87061720e-29                    
    17407.7525787415        6.717963e-16                       |         1.72217785e+14      6.79050876e-29                    
    17412.7525787415        6.706705e-16                       |         1.72168333e+14      6.78302406e-29                    
    17417.7525787415        6.769387e-16                       |         1.72118910e+14      6.85035176e-29                    
    17422.7525787415        6.840507e-16                       |         1.72069515e+14      6.92629725e-29                    
    17427.7525787415        6.763198e-16                       |         1.72020149e+14      6.85194974e-29                    
    17432.7525787415        6.775924e-16                       |         1.71970810e+14      6.86878234e-29                    
    17437.7525787415         6.78237e-16                       |         1.71921501e+14      6.87926115e-29                    
    17442.7525787415        6.884864e-16                       |         1.71872219e+14      6.98722458e-29                    
    17447.7525787415        6.853265e-16                       |         1.71822966e+14      6.95914377e-29                    
