Ind#:11124, Id(SIMBAD): ESO   5-4
Ind#:11472, Id(SIMBAD): NGC  6951
Ind#:11686, Id(SIMBAD): NGC  1142
Ind#:11688, Id(SIMBAD): ESO 253-3
Ind#:11803, Id(SIMBAD): Mrk 1073
Ind#:11898, Id(SIMBAD): M 106
Ind#:11917, Id(SIMBAD): NGC  5252
Ind#:11919, Id(SIMBAD): IC 4553
Ind#:11922, Id(SIMBAD): ESO 339-11
Ind#:11923, Id(SIMBAD): UGC 12282
Ind#:11944, Id(SIMBAD): LEDA   90196
Ind#:11945, Id(SIMBAD): NGC  4945
Ind#:11967, Id(SIMBAD): NGC  3976
Ind#:11968, Id(SIMBAD): NGC  5273
Ind#:11970, Id(SIMBAD): NGC  5899
Ind#:11971, Id(SIMBAD): NGC  4939
Ind#:12029, Id(SIMBAD): NGC    34
Ind#:12030, Id(SIMBAD): UGC  5101
Ind#:12032, Id(SIMBAD): NGC  7674
Ind#:12034, Id(SIMBAD): UGC  7064
Ind#:12035, Id(SIMBAD): NGC  7469
Ind#:12108, Id(SIMBAD): MCG-02-08-039
Ind#:12123, Id(SIMBAD): Mrk  352
Ind#:12125, Id(SIMBAD): ESO 113-45
Ind#:12129, Id(SIMBAD): ESO 417-6
Ind#:12130, Id(SIMBAD): NGC  1194
Ind#:12133, Id(SIMBAD): Mrk    3
Ind#:12147, Id(SIMBAD): IC 5063
Ind#:12593, Id(SIMBAD): NGC  7314
Ind#:13540, Id(SIMBAD): 3C  22.0
Ind#:13635, Id(SIMBAD): LEDA  165618
Ind#:14483, Id(SIMBAD): IRAS 11119+3257
Ind#:15767, Id(SIMBAD): 2MASS J15011320+2329082
Ind#:16931, Id(SIMBAD): NGC  3367
Ind#:17348, Id(SIMBAD): NGC  4968
Ind#:17383, Id(SIMBAD): NGC   660
Ind#:17416, Id(SIMBAD): Z  41-20
Ind#:17849, Id(SIMBAD): M  58
Ind#:18256, Id(SIMBAD): NGC  6926
Ind#:18259, Id(SIMBAD): NGC   973
Ind#:18540, Id(SIMBAD): NGC  4138
Ind#:18545, Id(SIMBAD): NGC  5395
Ind#:18552, Id(SIMBAD): NGC  7603
Ind#:18553, Id(SIMBAD): NGC  7213
Ind#:18555, Id(SIMBAD): UGC  1395
Ind#:18595, Id(SIMBAD): NGC   863
Ind#:18631, Id(SIMBAD): 2MASS J08105865+7602424
Ind#:18640, Id(SIMBAD): ICRF J052109.8+163822
Ind#:18643, Id(NED): PG 0947+396
Ind#:18660, Id(SIMBAD): ESO 121-28
Ind#:18682, Id(SIMBAD): Ton  182
Ind#:18684, Id(SIMBAD): 2MASX J14510879+2709272
Ind#:18702, Id(SIMBAD): NGC  1566
Ind#:18703, Id(SIMBAD): Mrk  704
Ind#:18726, Id(SIMBAD): 7C 1821+6419
Ind#:18837, Id(SIMBAD): NGC  4922
Ind#:19110, Id(NED): WISEA J151653.23+190048.3
Ind#:19325, Id(SIMBAD): IC 3639
Ind#:19330, Id(SIMBAD): Mrk  609
Ind#:19724, Id(SIMBAD): ESO 602-25
Ind#:19751, Id(SIMBAD): NGC  1358
Ind#:19754, Id(SIMBAD): NGC  3147
Ind#:19760, Id(SIMBAD): NGC  1056
Ind#:19785, Id(SIMBAD): ESO 511-30
Ind#:19862, Id(SIMBAD): SDSS J032845.99+011150.8
Ind#:20091, Id(SIMBAD): NGC  5643
Ind#:20222, Id(NED): SHOC 198
Ind#:20556, Id(SIMBAD): 3C 343.1
Ind#:20672, Id(NED): SBS 1626+554
Ind#:20880, Id(SIMBAD): 2MASX J08035923+2345201
Ind#:20905, Id(SIMBAD): NGC  3660
Ind#:21102, Id(SIMBAD): LEDA   24384
Ind#:21178, Id(SIMBAD): LEDA 2816291
Ind#:21480, Id(NED): WISEA J135356.02+664800.5
Ind#:21547, Id(SIMBAD): SDSS J143417.15+020742.3
Ind#:22143, Id(SIMBAD): 2MASX J22041914+0333511
Ind#:23573, Id(SIMBAD): SWIFT J0624.1-6059
Ind#:24247, Id(NED): WISEA J114540.46-182714.8
Ind#:24248, Id(SIMBAD): Mrk  926
Ind#:26682, Id(NED): WISEA J000703.61+155423.7
Ind#:26683, Id(NED): PG 1048+342
Ind#:26696, Id(SIMBAD): LEDA   45656
Ind#:26699, Id(SIMBAD): LEDA  101275
