Ind#:41589, Id(NED): WISEA J010835.15+214818.5
Ind#:41735, Id(SIMBAD): 3C 234.0
Ind#:41915, Id(NED): WISEA J105144.24+353930.7
Ind#:42045, Id(SIMBAD): 2MASX J12135486+0247529
Ind#:42459, Id(SIMBAD): LEDA   90127
Ind#:42638, Id(SIMBAD): MCG+00-25-010
Ind#:42771, Id(SIMBAD): UGC 11680
Ind#:42772, Id(NED): WISEA J222554.26+195836.9
Ind#:43648, Id(SIMBAD): ESO 148-2

Total objects with emission of NeII or NeIII or NeV lines found:  343
Execution Time(seg): 22217.022388458252
Execution Time(min): 370.2837064743042
Execution Time(hrs): 6.17139510790507
