No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
128,750 MHz (NRAO),6.96,+/-0.07,Jy,750000000.0,6.96,0.07,0.07,,,+/-7.00E-02,Jy,1966ApJS...13...65P,internal error,750        MHz,Broad-band measurement,013340.1 +204155. (B1950),Peak flux,,From new raw data
129,750 MHz,6.96,+/-0.196,Jy,750000000.0,6.96,0.196,0.196,,,+/-1.96E-01,Jy,1980MNRAS.190..903L,uncertainty,750        MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
130,750 MHz,7.37,+/-.07,Jy,750000000.0,7.37,0.07,0.07,,,+/-7.00E-02,Jy,1981A&AS...45..367K,uncertainty,750   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.059,Recalibrated data
131,635 MHz,8.04,+/-.69,Jy,635000000.0,8.04,0.69,0.69,,,+/-6.90E-01,Jy,1981A&AS...45..367K,uncertainty,635   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 0.98,Recalibrated data
132,635 MHz,9.27,+/-.28,Jy,635000000.0,9.27,0.28,0.28,,,+/-2.80E-01,Jy,1981A&AS...45..367K,uncertainty,635   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.035,Recalibrated data
133,635 MHz,8.2,,Jy,635000000.0,8.2,,,,,,Jy,1990PKS90.C...0000W,no uncertainty reported,635   MHz,Broad-band measurement,01 33 40.2 +20 42 11 (B1950),Integrated from scans,,Homogenized from new and previously published data
134,468 MHz,12.79,+/-.32,Jy,468000000.0,12.8,0.32,0.32,,,+/-3.20E-01,Jy,1981A&AS...45..367K,uncertainty,468   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.045,Recalibrated data
135,408 MHz,12.8,,Jy,408000000.0,12.8,,,,,,Jy,2014AJ....148...16S,no uncertainty reported,408 MHz,Broad-band measurement,,Flux integrated from map,,Averaged from previously published data
136,365 MHz (Texas),13.016,+/-0.161,Jy,365000000.0,13.0,0.161,0.161,,,+/-1.61E-01,Jy,1996AJ....111.1945D,internal error,365        MHz,Broad-band measurement; obtained by interpolation over frequency,013340.152 204200.43 (B1950),Integrated from scans,Model:A;MFlag:+;EFlag:+;LFlag:C.,From new raw data
137,318 MHz,16.17,+/-.63,Jy,318000000.0,16.2,0.63,0.63,,,+/-6.30E-01,Jy,1981A&AS...45..367K,uncertainty,318   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.05,Recalibrated data
138,178 MHz,26.4,+/-8.0 %,Jy,178000000.0,26.4,2.11,2.11,,,+/-2.11E+00,Jy,1965MmRAS..69..183P,uncertainty,178        MHz,Broad-band measurement,013340.1 +204312 (B1950),Integrated from scans,,From new raw data; Uncorrected for known sources in beam
139,178 MHz,28.32,+/-2.80,Jy,178000000.0,28.3,2.8,2.8,,,+/-2.80E+00,Jy,1981A&AS...45..367K,uncertainty,178   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.19,Recalibrated data
140,178 MHz,28.776,+/-2.878,Jy,178000000.0,28.8,2.88,2.88,,,+/-2.88E+00,Jy,1980MNRAS.190..903L,uncertainty,178        MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
141,178 MHz,26.4,+/-15  %,Jy,178000000.0,26.4,3.96,3.96,,,+/-3.96E+00,Jy,1969ApJ...157....1K,rms uncertainty,178        MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
142,178 MHz,26.4,,Jy,178000000.0,26.4,,,,,,Jy,1990PKS90.C...0000W,no uncertainty reported,178   MHz,Broad-band measurement,01 33 40.2 +20 42 11 (B1950),Integrated from scans,,Homogenized from new and previously published data
143,178 MHz,29.3,+/-2.30,Jy,178000000.0,29.3,2.3,2.3,,,+/-2.30E+00,Jy,1981A&AS...45..367K,uncertainty,178   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.11,Recalibrated data
144,160 MHz,35.4,+/-4.60,Jy,160000000.0,35.4,4.6,4.6,,,+/-4.60E+00,Jy,1981A&AS...45..367K,uncertainty,160   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.11,Recalibrated data
145,160 MHz,32.1,,Jy,160000000.0,32.1,,,,,,Jy,1995AuJPh..48..143S,no uncertainty reported,160        MHz,Broad-band measurement,013340.6 +203931. (B1950),Flux integrated from map,,From new raw data
146,86 MHz,62.1,+/-6.800,Jy,86000000.0,62.1,6.8,6.8,,,+/-6.80E+00,Jy,1980MNRAS.190..903L,uncertainty,86         MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
147,80 MHz,55.0,,Jy,80000000.0,55.0,,,,,,Jy,1990PKS90.C...0000W,no uncertainty reported,80   MHz,Broad-band measurement,01 33 40.2 +20 42 11 (B1950),Integrated from scans,,Homogenized from new and previously published data
148,80 MHz,59.0,+/-8.00,Jy,80000000.0,59.0,8.0,8.0,,,+/-8.00E+00,Jy,1981A&AS...45..367K,uncertainty,80   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.074,Recalibrated data
149,80 MHz,69.0,,Jy,80000000.0,69.0,,,,,,Jy,1995AuJPh..48..143S,no uncertainty reported,80        MHz,Broad-band measurement,013340.6 +203931. (B1950),Flux integrated from map,,From new raw data
150,38 MHz,147.5,+/-14.750,Jy,38000000.0,148.0,14.8,14.8,,,+/-1.48E+01,Jy,1980MNRAS.190..903L,uncertainty,38         MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
151,38 MHz,125.0,+/-15  %,Jy,38000000.0,125.0,18.7,18.7,,,+/-1.87E+01,Jy,1969ApJ...157....1K,rms uncertainty,38         MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
152,38 MHz,136.09,+/-12.30,Jy,38000000.0,136.0,12.3,12.3,,,+/-1.23E+01,Jy,1981A&AS...45..367K,uncertainty,38   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.09,Recalibrated data
