No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
41,R (Cousins) (R_25),12.06,+/-0.09,mag,468000000000000.0,0.0462,0.00399,0.00399,,,+/-3.99E-03,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
42,R (Cousins) (R_T),11.88,+/-0.09,mag,468000000000000.0,0.0547,0.00472,0.00472,,,+/-4.72E-03,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
43,R (Cousins) (R_26),11.96,+/-0.09,mag,468000000000000.0,0.0504,0.00436,0.00436,,,+/-4.36E-03,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
44,R,12.4881,,mag,468000000000000.0,0.0311,,,,,,Jy,2005MNRAS.361...34D,no uncertainty reported,6400   A,Broad-band measurement,060539.5 -863754.8 (J2000),Flux in fixed aperture,,From new raw data
45,H{alpha} line,1.57e-14,+/-0.18E-14,ergs/cm^2^/s,457000000000000.0,1570000000.0,180000000.0,180000000.0,,,+/-1.80E+08,Jy-Hz,2007ApJ...669..109L,uncertainty,6563 A,Line measurement; flux integrated over line; lines measured in emission,06 05 39.24 -86 37 51.32 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
46,H{alpha},2.1e-14,+/-0.2E-15,erg/cm^2^/s,457000000000000.0,2100000000.0,20000000.0,20000000.0,,,+/-2.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,6563 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Narrow comp;spec fit flag=2; see paper,From reprocessed raw data
47,[N II] line,1.52e-14,+/-0.18E-14,ergs/cm^2^/s,455000000000000.0,1520000000.0,180000000.0,180000000.0,,,+/-1.80E+08,Jy-Hz,2007ApJ...669..109L,uncertainty,6584 A,Line measurement; flux integrated over line; lines measured in emission,06 05 39.24 -86 37 51.32 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
48,[N II] 6583,1.61e-14,+/-0.6E-15,erg/cm^2^/s,455000000000000.0,1610000000.0,60000000.0,60000000.0,,,+/-6.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,6583 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
49,[S II] 6716,1.13e-14,+/-0.3E-15,erg/cm^2^/s,446000000000000.0,1130000000.0,30000000.0,30000000.0,,,+/-3.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,6716 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
50,[S II] 6731,4.1e-15,+/-0.7E-15,erg/cm^2^/s,445000000000000.0,410000000.0,70000000.0,70000000.0,,,+/-7.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,6731 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
51,I,12.1958,,mag,379000000000000.0,0.0338,,,,,,Jy,2005MNRAS.361...34D,no uncertainty reported,7900   A,Broad-band measurement,060539.5 -863754.8 (J2000),Flux in fixed aperture,,From new raw data
52,J (2MASS/CTIO),12.617,+/-0.114,mag,243000000000000.0,0.0143,0.0015,0.0015,,,+/-1.50E-03,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
53,J (2MASS/CTIO),11.839,+/-0.008,mag,243000000000000.0,0.0293,0.000216,0.000216,,,+/-2.16E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
54,F_J (total),1.2,+/-0.61,log milliJy,241000000000000.0,0.0158,0.0041,0.0041,,,+/-4.10E-03,Jy,1995ApJ...453..616S,1 sigma,1.244      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
55,J (ESO/SPM),3.0,+/-0.20,milliJy,241000000000000.0,0.003,0.0002,0.0002,,,+/-2.00E-04,Jy,1995ApJ...453..616S,rms uncertainty,1.244      microns,Broad-band measurement,062153.8 -863653 (B1950),Flux in fixed aperture,"30"" aperture",From new raw data
56,J_14arcsec (2MASS),11.09,+/-0.005,mag,240000000000000.0,0.0583,0.000269,0.000269,,,+/-2.69E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
57,J,9.465,+/-0.020,mag,240000000000000.0,0.261,0.00484,0.00484,,,+/-4.84E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,,From new raw data
58,J,9.534,+/-0.015,mag,240000000000000.0,0.245,0.0034,0.0034,,,+/-3.40E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,178.8 x   35.8 arcsec integration area.,From new raw data
59,H (ESO/SPM),7.7,+/-0.51,milliJy,184000000000000.0,0.0077,0.000513,0.000513,,,+/-5.13E-04,Jy,1995ApJ...453..616S,rms uncertainty,1.634      microns,Broad-band measurement,062153.8 -863653 (B1950),Flux in fixed aperture,"30"" aperture",From new raw data
60,F_H (total),1.6,+/-1.01,log milliJy,184000000000000.0,0.0398,0.0103,0.0103,,,+/-1.03E-02,Jy,1995ApJ...453..616S,1 sigma,1.634      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
61,H,8.604,+/-0.015,mag,182000000000000.0,0.37,0.00515,0.00515,,,+/-5.15E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,178.8 x   35.8 arcsec integration area.,From new raw data
62,H,8.548,+/-0.014,mag,182000000000000.0,0.39,0.00506,0.00506,,,+/-5.06E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,,From new raw data
63,H_14arcsec (2MASS),10.088,+/-0.004,mag,182000000000000.0,0.0944,0.000348,0.000348,,,+/-3.48E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
64,H (2MASS/CTIO),10.765,+/-0.006,mag,180000000000000.0,0.0506,0.00028,0.00028,,,+/-2.80E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
65,H (2MASS/CTIO),11.41,+/-0.092,mag,180000000000000.0,0.0279,0.00237,0.00237,,,+/-2.37E-03,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
66,K_s (2MASS/CTIO),10.235,+/-0.006,mag,139000000000000.0,0.0537,0.000297,0.000297,,,+/-2.97E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
67,K_s (2MASS/CTIO),10.566,+/-0.066,mag,139000000000000.0,0.0396,0.00241,0.00241,,,+/-2.41E-03,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
68,K_s,8.141,+/-0.017,mag,138000000000000.0,0.369,0.00583,0.00583,,,+/-5.83E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,,From new raw data
69,K_s,8.192,+/-0.017,mag,138000000000000.0,0.353,0.00556,0.00556,,,+/-5.56E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,178.8 x   35.8 arcsec integration area.,From new raw data
70,K_s_14arcsec (2MASS),9.6,+/-0.005,mag,138000000000000.0,0.0964,0.000445,0.000445,,,+/-4.45E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,060541.63 -863754.7 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
71,F_K (total),1.58,+/-0.99,log milliJy,137000000000000.0,0.038,0.00984,0.00984,,,+/-9.84E-03,Jy,1995ApJ...453..616S,1 sigma,2.194      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
