No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
103,[S III] 33.48,1.45e-20,,W/cm^2^,8950000000000.0,14500000000.0,,,,,,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,33.48 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
104,[S III] 33.5 Spitzer,1.8e-20,+/-0.02E-19,W/cm^2^,8950000000000.0,18000000000.0,2000000000.0,2000000000.0,,,+/-2.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,33.48 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
105,[Si II] 34.28,2.749e-20,,W/cm^2^,8750000000000.0,27500000000.0,,,,,,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,34.28 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
106,60 microns (IRAS),1.935,+/-8   %,Jy,5000000000000.0,1.94,0.155,0.155,,,+/-1.55E-01,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,012137.8 +333222 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
107,70 microns (PACS),2.862,+/-0.146,Jy,4280000000000.0,2.86,0.146,0.146,,,+/-1.46E-01,Jy,2014ApJ...794..152M,uncertainty,70 microns,Broad-band measurement,01 24 26.9 +33 47 58 (J2000),Flux in fixed aperture,"18"" aperture",From new raw data
108,100 microns (IRAS),4.053,+/-8   %,Jy,3000000000000.0,4.05,0.324,0.324,,,+/-3.24E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,012137.8 +333222 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
109,160 microns (PACS),4.143,+/-0.211,Jy,1810000000000.0,4.14,0.211,0.211,,,+/-2.11E-01,Jy,2014ApJ...794..152M,uncertainty,166 microns,Broad-band measurement,01 24 26.9 +33 47 58 (J2000),Flux in fixed aperture,"22"" aperture",From new raw data
110,250 microns (SPIRE),1.445,+/-0.099,Jy,1200000000000.0,1.45,0.099,0.099,,,+/-9.90E-02,Jy,2016MNRAS.456.3335S,uncertainty,250 microns,Broad-band measurement,01 24 26.9 +33 47 58 (J2000),Flux in fixed aperture,Greater than 5sigma detection,From new raw data
111,350 microns (SPIRE),0.63,+/-0.050,Jy,857000000000.0,0.63,0.05,0.05,,,+/-5.00E-02,Jy,2016MNRAS.456.3335S,uncertainty,350 microns,Broad-band measurement,01 24 26.9 +33 47 58 (J2000),Flux in fixed aperture,Greater than 5sigma detection,From new raw data
112,500 microns (SPIRE),0.199,+/-0.019,Jy,600000000000.0,0.199,0.019,0.019,,,+/-1.90E-02,Jy,2016MNRAS.456.3335S,uncertainty,500 microns,Broad-band measurement,01 24 26.9 +33 47 58 (J2000),Flux in fixed aperture,Greater than 5sigma detection,From new raw data
