No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
39,[Ne II] 12.81 (IRS),,<3.61E-18,W/m^2^,23400000000000.0,,,,361000000.0,,<3.61E+08,Jy-Hz,2011ApJ...740...94D,no uncertainty reported,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
40,[Ne V] 14.32 (IRS),,<25.07E-18,W/m^2^,20900000000000.0,,,,2510000000.0,,<2.51E+09,Jy-Hz,2011ApJ...740...94D,no uncertainty reported,14.32 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
41,[Ne V] 14.3 (IRS),4.48e-21,,W/cm^2^,20900000000000.0,4480000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,14.320 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
42,[Ne III] 15.5 (IRS),2.6e-21,,W/cm^2^,19300000000000.0,2600000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,15.555 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
43,[Ne III] 15.56 (IRS),1.565e-17,+/-2.39E-18,W/m^2^,19300000000000.0,1560000000.0,239000000.0,239000000.0,,,+/-2.39E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,15.56 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
44,W4 (WISE),5.105,+/-0.026,mag,13600000000000.0,0.0759,0.00182,0.00182,,,+/-1.82E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
45,W4 (WISE),4.801,+/-0.024,mag,13600000000000.0,0.1,0.00222,0.00222,,,+/-2.22E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data; Uncorrected for known sources in beam
46,W4 (WISE),4.824,+/-0.033,mag,13600000000000.0,0.0983,0.00299,0.00299,,,+/-2.99E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
47,24 microns (MIPS),88658.0,+/-5.4771E+01,microJy,12700000000000.0,0.0887,5.48e-05,5.48e-05,,,+/-5.48E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
48,24 microns (MIPS),92525.0,+/-9.2525E+01,microJy,12700000000000.0,0.0925,9.25e-05,9.25e-05,,,+/-9.25E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
49,25 microns (IRAS),,<2.447E-01,Jy,12000000000000.0,,,,0.245,,<2.45E-01,Jy,1990IRASF.C...0000M,90% confidence,25        microns,Broad-band measurement,091558.2 +212947 (B1950),Flux in fixed aperture,,From new raw data
50,60 microns (IRAS),0.2597,+/-15  %,Jy,5000000000000.0,0.26,0.039,0.039,,,+/-3.90E-02,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,091558.2 +212947 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
51,100 microns (IRAS),,<5.965E-01,Jy,3000000000000.0,,,,0.597,,<5.97E-01,Jy,1990IRASF.C...0000M,90% confidence,100       microns,Broad-band measurement,091558.2 +212947 (B1950),Flux in fixed aperture,,From new raw data
52,1.4GHz,8.1,+/-0.9,milliJy,1400000000.0,0.0081,0.0009,0.0009,,,+/-9.00E-04,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,09 18 48.78 +21 17 16.0 (J2000),Flux integrated from map,,From new raw data
