No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
33,H (2MASS/CTIO),15.149,+/-0.164,mag,180000000000000.0,0.000893,0.000135,0.000135,,,+/-1.35E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
34,K_s (2MASS/CTIO),14.854,+/-0.15,mag,139000000000000.0,0.000763,0.000105,0.000105,,,+/-1.05E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
35,K_s (2MASS/CTIO),14.375,+/-0.368,mag,139000000000000.0,0.00119,0.000402,0.000402,,,+/-4.02E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
36,W1 (WISE),14.209,+/-0.028,mag,89500000000000.0,0.000641,1.65e-05,1.65e-05,,,+/-1.65E-05,Jy,2014A&A...570A.110Z,uncertainty,3.35 microns,Broad-band measurement,14 09 31.26 +05 11 31.4 (J2000),From fitting to map,,Averaged from previously published data
37,W1 (WISE),14.244,+/-0.028,mag,89400000000000.0,0.000621,1.6e-05,1.6e-05,,,+/-1.60E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
38,W1 (WISE),14.16,+/-0.027,mag,89400000000000.0,0.000671,1.67e-05,1.67e-05,,,+/-1.67E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
39,W1 (WISE),14.017,+/-0.048,mag,89400000000000.0,0.000765,3.38e-05,3.38e-05,,,+/-3.38E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
40,3.6 microns (IRAC),601.07,+/-3.0181E+00,microJy,84400000000000.0,0.000601,3.02e-06,3.02e-06,,,+/-3.02E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
41,3.6 microns (IRAC),514.94,+/-2.7449E+00,microJy,84400000000000.0,0.000515,2.74e-06,2.74e-06,,,+/-2.74E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
42,4.5 microns (IRAC),812.02,+/-4.0526E+00,microJy,66700000000000.0,0.000812,4.05e-06,4.05e-06,,,+/-4.05E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
43,4.5 microns (IRAC),732.6,+/-3.5849E+00,microJy,66700000000000.0,0.000733,3.58e-06,3.58e-06,,,+/-3.58E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
44,W2 (WISE),13.255,+/-0.028,mag,65200000000000.0,0.000857,2.21e-05,2.21e-05,,,+/-2.21E-05,Jy,2014A&A...570A.110Z,uncertainty,4.6 microns,Broad-band measurement,14 09 31.26 +05 11 31.4 (J2000),From fitting to map,,Averaged from previously published data
45,W2 (WISE),13.287,+/-0.028,mag,65100000000000.0,0.000832,2.15e-05,2.15e-05,,,+/-2.15E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
46,W2 (WISE),13.268,+/-0.022,mag,65100000000000.0,0.000847,1.72e-05,1.72e-05,,,+/-1.72E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
47,W2 (WISE),13.304,+/-0.042,mag,65100000000000.0,0.000819,3.17e-05,3.17e-05,,,+/-3.17E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
48,5.8 microns (IRAC),1284.0,+/-1.3543E+01,microJy,52300000000000.0,0.00128,1.35e-05,1.35e-05,,,+/-1.35E-05,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
49,5.8 microns (IRAC),1377.3,+/-1.3895E+01,microJy,52300000000000.0,0.00138,1.39e-05,1.39e-05,,,+/-1.39E-05,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
50,6 microns (Spitzer),5.0,,milliJy,50000000000000.0,0.005,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,6 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
51,8.0 microns (IRAC),8798.9,+/-1.8475E+01,microJy,38100000000000.0,0.0088,1.85e-05,1.85e-05,,,+/-1.85E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
52,8.0 microns (IRAC),9027.8,+/-1.8941E+01,microJy,38100000000000.0,0.00903,1.89e-05,1.89e-05,,,+/-1.89E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
53,8 microns (Spitzer),29.0,+/-5   %,milliJy,37500000000000.0,0.029,0.00145,0.00145,,,+/-1.45E-03,Jy,2009ApJ...698.1682W,typical accuracy,8 microns,Broad-band measurement,14 09 31.30 +05 11 31.0 (J2000),Peak flux,,From reprocessed raw data
54,[Ar III] 8.99 (IRS),,<0.19E-21,W/cm^2^,33300000000000.0,,,,190000000.0,,<1.90E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,8.991 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
55,[S IV] 10.51 (IRS),,<0.18E-21,W/cm^2^,28500000000000.0,,,,180000000.0,,<1.80E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,10.511 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
56,W3 (WISE),8.728,+/-0.023,mag,25900000000000.0,0.0102,0.000217,0.000217,,,+/-2.17E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
57,W3 (WISE),8.727,+/-0.016,mag,25900000000000.0,0.0102,0.000151,0.000151,,,+/-1.51E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
58,W3 (WISE),8.895,+/-0.022,mag,25900000000000.0,0.00876,0.000178,0.000178,,,+/-1.78E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
