No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
44,2500 A,-25.78,,log(erg/cm^2^/s/Hz),1200000000000000.0,0.00166,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2500   A,Broad-band measurement,16 13 57.2 +65 43 10 (J2000),Flux integrated from map,,Averaged new and previously published data
45,UVW1 (XMM-OM),13.7,,mag,1030000000000000.0,0.0035,,,,,,Jy,2004MNRAS.352..523P,no uncertainty reported,291 nm,Broad-band measurement,16 13 57.2 +65 43 09.0 (J2000),Not reported in paper,,From new raw data
46,U (Johnson),1.89,+/-0.05,milliJy,819000000000000.0,0.00189,5e-05,5e-05,,,+/-5.00E-05,Jy,1983ApJS...52..341M,1 sigma,0.366      microns,Broad-band measurement,161336.2 +655037 (B1950),Flux in fixed aperture,"15.4"" aperture",From new raw data
47,[O II] 3727,,<5.5E-15,erg/cm^2^/s,804000000000000.0,,,,550000000.0,,<5.50E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3727 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=3; see paper,From reprocessed raw data
48,[Ne III] 3869,,<7.9E-15,erg/cm^2^/s,775000000000000.0,,,,790000000.0,,<7.90E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3869 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=3; see paper,From reprocessed raw data
49,[Ne III] 3968,,<5.6E-15,erg/cm^2^/s,756000000000000.0,,,,560000000.0,,<5.60E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3968 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=3; see paper,From reprocessed raw data
50,B (m_B Int.),15.67,+/-0.12,mag,681000000000000.0,0.0023,0.000269,0.000269,,,+/-2.69E-04,Jy,2001AJ....122.2791S,uncertainty,0.440      microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Johnson UBVRI filters assumed
51,B,16.3,+/-0.3,mag,681000000000000.0,0.00129,0.000409,0.000409,,,+/-4.09E-04,Jy,1982ApJ...260..437R,estimated error,4400       C,Broad-band measurement; broad-band flux derived by integration over spectrum,161327. +655105. (B1950),Integrated from scans,,From new raw data; OBJ_NAME modified from published value
52,B Johnson (FLWO),15.351,+/-0.061,mag,681000000000000.0,0.00308,0.000174,0.000174,,,+/-1.74E-04,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
53,B (Johnson),14.874,+/-0.045,mag,681000000000000.0,0.00478,0.000198,0.000198,,,+/-1.98E-04,Jy,2009AJ....138..845O,rms uncertainty,4400 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
54,B (Johnson),1.96,+/-0.05,milliJy,669000000000000.0,0.00196,5e-05,5e-05,,,+/-5.00E-05,Jy,1983ApJS...52..341M,1 sigma,0.448      microns,Broad-band measurement,161336.2 +655037 (B1950),Flux in fixed aperture,"15.4"" aperture",From new raw data
55,J_pg,15.8,+/-0.3,mag,641000000000000.0,0.00189,0.000522,0.000522,,,+/-5.22E-04,Jy,2007ApJS..170...33P,estimated error,4680   A,Broad-band measurement,16 13 57.32 +65 43 12.1 (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
56,4861 A,2.35e-15,,erg/cm^2^/s/A,617000000000000.0,0.00186,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,4861   A,Broad-band measurement,,Not reported in paper,H {beta} continuum,From new raw data; Extinction-corrected for Milky Way
57,H{beta},2.02e-13,+/-1.3E-14,ergs/s/cm^2^,617000000000000.0,20200000000.0,1300000000.0,1300000000.0,,,+/-1.30E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,16 13 36.3 +65 50 38 (J2000),Total flux,,From new raw data
58,H{beta},5.6e-15,+/-4.0E-15,erg/cm^2^/s,617000000000000.0,560000000.0,400000000.0,400000000.0,,,+/-4.00E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Broad comp;spec fit flag=1; see paper,From reprocessed raw data
59,[O III] 5007,6.14e-14,+/-3.2E-15,erg/cm^2^/s,599000000000000.0,6140000000.0,320000000.0,320000000.0,,,+/-3.20E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=1; see paper,From reprocessed raw data
60,5100 A,3.49e-15,+/-4.3E-16,ergs/cm^2^/s/A,588000000000000.0,0.00303,0.000374,0.000374,,,+/-3.74E-04,Jy,2000ApJ...533..631K,rms uncertainty,5100   A,Broad-band measurement,16 13 36.3 +65 50 38 (J2000),Total flux,,From new raw data
61,V (Johnson),2.62,+/-0.06,milliJy,542000000000000.0,0.00262,6e-05,6e-05,,,+/-6.00E-05,Jy,1983ApJS...52..341M,1 sigma,5530   A,Broad-band measurement,16 13 36.2 +65 50 37 (B1950),Flux in fixed aperture,"15.4"" aperture",From new raw data
62,V (Johnson),15.29,,mag,542000000000000.0,0.00279,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",Transformed from previously published data; Standard JohnsonUBVRI filters assumed
63,V,16.1,+/-0.3,mag,542000000000000.0,0.00132,0.000421,0.000421,,,+/-4.21E-04,Jy,1982ApJ...260..437R,estimated error,5500       C,Broad-band measurement; broad-band flux derived by integration over spectrum,161327. +655105. (B1950),Integrated from scans,,From new raw data; OBJ_NAME modified from published value
