No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
26,W1 (WISE),9.399,+/-0.005,mag,89400000000000.0,0.0538,0.000248,0.000248,,,+/-2.48E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
27,3.6 microns (IRAC),52300.0,+/-5.9354E+01,microJy,84400000000000.0,0.0523,5.94e-05,5.94e-05,,,+/-5.94E-05,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
28,3.6 microns (IRAC),44395.0,+/-6.1518E+01,microJy,84400000000000.0,0.0444,6.15e-05,6.15e-05,,,+/-6.15E-05,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
29,3.6 microns (IRAC),9.09,+/-0.08,mag,84400000000000.0,0.065,0.00479,0.00479,,,+/-4.79E-03,Jy,2010ApJS..187..172G,uncertainty,3.550 microns,Broad-band measurement,04 40 54.96 -08 22 21.9 (J2000),Flux in fixed aperture,,From new raw data
30,4.5 microns (IRAC),8.04,+/-0.06,mag,66700000000000.0,0.109,0.00604,0.00604,,,+/-6.04E-03,Jy,2010ApJS..187..172G,uncertainty,4.493 microns,Broad-band measurement,04 40 54.96 -08 22 21.9 (J2000),Flux in fixed aperture,,From new raw data
31,W2 (WISE),7.871,+/-0.021,mag,65100000000000.0,0.122,0.00236,0.00236,,,+/-2.36E-03,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
32,W2 (WISE),7.875,+/-0.005,mag,65100000000000.0,0.122,0.00056,0.00056,,,+/-5.60E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
33,W2 (WISE),7.888,+/-0.005,mag,65100000000000.0,0.12,0.000553,0.000553,,,+/-5.53E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
34,5.5 microns (IRS),0.227,+/-1.45E-02,Jy,54500000000000.0,0.227,0.0145,0.0145,,,+/-1.45E-02,Jy,2009ApJ...705...14D,uncertainty,5.5 microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
35,5.8 microns (IRAC),162520.0,+/-2.5649E+02,microJy,52300000000000.0,0.163,0.000256,0.000256,,,+/-2.56E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
36,5.8 microns (IRAC),182850.0,+/-2.4695E+02,microJy,52300000000000.0,0.183,0.000247,0.000247,,,+/-2.47E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
37,5.8 microns (IRAC),7.04,+/-0.05,mag,52300000000000.0,0.176,0.00809,0.00809,,,+/-8.09E-03,Jy,2010ApJS..187..172G,uncertainty,5.731 microns,Broad-band measurement,04 40 54.96 -08 22 21.9 (J2000),Flux in fixed aperture,,From new raw data
38,6 microns (ISO),0.2205,,Jy,50000000000000.0,0.221,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
39,6 microns (Spitzer),1.555e-18,+/-0.61E-19,W/cm^2^/microns,50000000000000.0,0.187,0.00733,0.00733,,,+/-7.33E-03,Jy,2007ApJ...671..124D,uncertainty,6.00 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
40,PAH 6.2 (Spitzer),2.5e-20,+/-0.02E-19,W/cm^2^,48400000000000.0,25000000000.0,2000000000.0,2000000000.0,,,+/-2.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
41,6.2 microns (IRS),5.4e-16,+/-11E-17,W/m^2^,48400000000000.0,54000000000.0,11000000000.0,11000000000.0,,,+/-1.10E+10,Jy-Hz,2010ApJS..187..172G,1 sigma,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
42,PAH 6.2 (Spitzer),,<8.03E-20,W/cm^2^,48400000000000.0,,,,80300000.0,,<8.03E+07,Jy-Hz,2009ApJ...701..658W,no uncertainty reported,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.9 -08 22 22 (J2000),Flux in fixed aperture,,From reprocessed raw data
43,7.4 microns (IRS),,<134E-17,W/m^2^,40500000000000.0,,,,134000000000.0,,<1.34E+11,Jy-Hz,2010ApJS..187..172G,3 sigma,7.4 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
44,7.6 microns (IRS),1.03e-15,+/-18E-17,W/m^2^,39400000000000.0,103000000000.0,18000000000.0,18000000000.0,,,+/-1.80E+10,Jy-Hz,2010ApJS..187..172G,1 sigma,7.6 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
45,7.8 microns (IRS),,<51E-17,W/m^2^,38400000000000.0,,,,51000000000.0,,<5.10E+10,Jy-Hz,2010ApJS..187..172G,3 sigma,7.8 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
46,8.0 microns (IRAC),5.64,+/-0.03,mag,38100000000000.0,0.356,0.00983,0.00983,,,+/-9.83E-03,Jy,2010ApJS..187..172G,uncertainty,7.872 microns,Broad-band measurement,04 40 54.96 -08 22 21.9 (J2000),Flux in fixed aperture,,From new raw data
47,8.3 microns (IRS),,<44E-17,W/m^2^,36100000000000.0,,,,44000000000.0,,<4.40E+10,Jy-Hz,2010ApJS..187..172G,3 sigma,8.3 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
48,8.6 microns (IRS),,<33E-17,W/m^2^,34900000000000.0,,,,33000000000.0,,<3.30E+10,Jy-Hz,2010ApJS..187..172G,3 sigma,8.6 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
49,[Ar III] (Spitzer),9e-21,+/-0.03E-19,W/cm^2^,33300000000000.0,9000000000.0,3000000000.0,3000000000.0,,,+/-3.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,8.99 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
50,10 microns (IRS),0.238,+/-1.85E-02,Jy,30000000000000.0,0.238,0.0185,0.0185,,,+/-1.85E-02,Jy,2009ApJ...705...14D,uncertainty,10 microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
51,[S IV] 10.51 (IRS),2.38e-14,+/-0.42E-14,erg/s/cm^2^,28500000000000.0,2380000000.0,420000000.0,420000000.0,,,+/-4.20E+08,Jy-Hz,2010ApJ...709.1257T,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.9 -08 22 22 (J2000),Flux integrated from map,SH module,From new raw data
52,N,274.0,+/-,milliJy,28300000000000.0,0.274,,,,,+/-...,Jy,1995ApJ...446..561M,times noise,10.6      microns,Broad-band measurement,,Flux in fixed aperture,"5.3"" aperture",From new raw data
53,10.8 microns MIRLIN,161.0,+/-46,milliJy,27800000000000.0,0.161,0.046,0.046,,,+/-4.60E-02,Jy,2004ApJ...605..156G,statistical error,10.8   microns,Broad-band measurement,,Flux in fixed aperture,"1.5"" diam aperture",From new raw data
54,11.2 microns (IRS),,<10E-17,W/m^2^,26800000000000.0,,,,10000000000.0,,<1.00E+10,Jy-Hz,2010ApJS..187..172G,3 sigma,11.2 microns,Line measurement; flux integrated over line; lines measured in emission,04 40 54.96 -08 22 21.9 (J2000),Flux integrated from map,,From new raw data
