No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
59,log nu(Hz) 14.55,0.67,+/-0.02,log f_nu (milliJy),355000000000000.0,0.00468,0.00022,0.00022,,,+/-2.20E-04,Jy,1979ApJ...230...79N,uncertainty,14.55      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
60,I Johnson (FLWO),14.447,+/-0.077,mag,341000000000000.0,0.00379,0.00027,0.00027,,,+/-2.70E-04,Jy,1994ApJS...95....1E,uncertainty,8785   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
61,I Johnson (FLWO),14.469,+/-0.066,mag,341000000000000.0,0.00372,0.000226,0.000226,,,+/-2.26E-04,Jy,1994ApJS...95....1E,uncertainty,8785   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
62,I (Johnson),14.256,+/-0.019,mag,341000000000000.0,0.00452,7.92e-05,7.92e-05,,,+/-7.92E-05,Jy,2009AJ....138..845O,rms uncertainty,8785 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
63,log nu(Hz) 14.50,0.7,+/-0.02,log f_nu (milliJy),316000000000000.0,0.00501,0.000236,0.000236,,,+/-2.36E-04,Jy,1979ApJ...230...79N,uncertainty,14.50      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
64,log nu(Hz) 14.45,0.74,+/-0.02,log f_nu (milliJy),282000000000000.0,0.0055,0.000259,0.000259,,,+/-2.59E-04,Jy,1979ApJ...230...79N,uncertainty,14.45      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
65,J (AAO),13.88,,mag,250000000000000.0,0.0046,,,,,,Jy,1982MNRAS.199..943H,no uncertainty reported,1.20    microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; derived from a flux in a different bandand a color
66,J (2MASS/FLWO),13.548,+/-0.029,mag,243000000000000.0,0.00607,0.000162,0.000162,,,+/-1.62E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
67,J (2MASS/FLWO),13.58,+/-0.031,mag,243000000000000.0,0.0059,0.000168,0.000168,,,+/-1.68E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
68,J,14.0,+/-0.05,mag,240000000000000.0,0.00394,0.000181,0.000181,,,+/-1.81E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1985; MMT; Beam = 5""",From new raw data
69,J,13.86,+/-0.06,mag,240000000000000.0,0.00448,0.000247,0.000247,,,+/-2.47E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1984; MMT; Beam = 5""",From new raw data
70,J (Mt. Lemmon),5.7,+/-1.2,milliJy,240000000000000.0,0.0057,0.0012,0.0012,,,+/-1.20E-03,Jy,1982ApJ...259..486S,uncertainty,1.25    microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data; Extinction-corrected for Milky Way
71,1.27 microns,0.65,+/-0.03,log milliJy,236000000000000.0,0.00447,0.000298,0.000298,,,+/-2.98E-04,Jy,1987ApJS...63..615N,estimated error,1.27       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 Jul 22",From new raw data; Standard Caltech JHKL filters assumed
72,H (HST/NIC2),13.47,,mag,187000000000000.0,0.00427,,,,,,Jy,2009ApJ...701..587V,no uncertainty reported,1.606 microns,Broad-band measurement,,Modelled datum,PSF component; n=1.0; r_{1/2}=4.92,From new raw data
73,H (HST/NIC2),15.46,,mag,187000000000000.0,0.000683,,,,,,Jy,2009ApJ...701..587V,no uncertainty reported,1.606 microns,Broad-band measurement,,Modelled datum,Sersic component; n=4.0; r_{1/2}=0.35,From new raw data
74,H (HST/NIC2),15.98,,mag,187000000000000.0,0.000423,,,,,,Jy,2009ApJ...701..587V,no uncertainty reported,1.606 microns,Broad-band measurement,,Modelled datum,Sersic component; n=1.0; r_{1/2}=4.92,From new raw data
75,H (GeminiN),6.38,+/-5   %,milliJy,183000000000000.0,0.00638,0.000319,0.000319,,,+/-3.19E-04,Jy,2006ApJS..166...89G,typical accuracy,1.635   microns,Broad-band measurement,00 29 13.81 +13 16 04.5 (J2000),Flux in fixed aperture,"5.5"" diameter aperture",From new raw data
76,H (AAO),13.23,,mag,183000000000000.0,0.00526,,,,,,Jy,1982MNRAS.199..943H,no uncertainty reported,1.64    microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; derived from a flux in a different bandand a color
77,H,13.3,+/-0.06,mag,182000000000000.0,0.00486,0.000269,0.000269,,,+/-2.69E-04,Jy,1994ApJS...95....1E,uncertainty,1.65   microns,Broad-band measurement,,Flux in fixed aperture,"1984; MMT; Beam = 5""",From new raw data
78,H,13.52,+/-0.06,mag,182000000000000.0,0.00397,0.000219,0.000219,,,+/-2.19E-04,Jy,1994ApJS...95....1E,uncertainty,1.65   microns,Broad-band measurement,,Flux in fixed aperture,"1985; MMT; Beam = 5""",From new raw data
79,log nu(Hz) 14.260,0.81,+/-0.03,log f_nu (milliJy),182000000000000.0,0.00646,0.000462,0.000462,,,+/-4.62E-04,Jy,1979ApJ...230...79N,uncertainty,14.26      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
80,1.65 microns,0.84,+/-0.03,log milliJy,182000000000000.0,0.00692,0.000462,0.000462,,,+/-4.62E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1975 Oct 17",From new raw data; Standard Caltech JHKL filters assumed
81,1.65 microns,0.69,+/-0.04,log milliJy,182000000000000.0,0.0049,0.000431,0.000431,,,+/-4.31E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 Jul 22",From new raw data; Standard Caltech JHKL filters assumed
82,H (Mt. Lemmon),6.0,+/-0.7,milliJy,182000000000000.0,0.006,0.0007,0.0007,,,+/-7.00E-04,Jy,1982ApJ...259..486S,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data; Extinction-corrected for Milky Way
83,H (2MASS/FLWO),13.033,+/-0.04,mag,180000000000000.0,0.00627,0.000231,0.000231,,,+/-2.31E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
84,H (2MASS/FLWO),13.062,+/-0.04,mag,180000000000000.0,0.0061,0.000225,0.000225,,,+/-2.25E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
85,K_s (2MASS/FLWO),12.111,+/-0.024,mag,139000000000000.0,0.00954,0.000211,0.000211,,,+/-2.11E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
