Main_id RA DEC otype redshift otypes [NeV]* [NeV]_err* [NeII]* [NeII]_err* [NeV]/[NeII]* [NeV]/[NeII]_err* [NeV]$^+$ [NeV]_err$^+$ [NeIII]$^+$ [NeIII]_err$^+$ [NeV]/[NeIII]$^+$ [NeV]/[NeIII]_err$^+$ [NeIII]$^-$ [NeIII]_err$^-$ [NeII]$^-$ [NeII]_err$^-$ [NeIII]/[NeII]$^-$ [NeIII]/[NeII]_err$^-$ bayes.agn.fracAGN bayes.agn.fracAGN_err bayes.agn.i bayes.agn.i_err bayes.agn.disk_luminosity bayes.agn.disk_luminosity_err bayes.agn.luminosity bayes.agn.luminosity_err bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err best.reduced_chi_square log.reduced_chi_square NED_Ne_IR_info
"7C 1821+6419" 275.4883876131 64.34339480891 Sy1 0.297 *|AGN|G|IR|QSO|Rad|Sy1|UV|X|gam 5080000000.0 169000000.0 2750000000.0 206000000.0 1.8472727272727272 0.15141003725431723 5080000000.0 169000000.0 10400000000.0 350000000.0 0.48846153846153845 0.02311472217491531 10400000000.0 350000000.0 2750000000.0 206000000.0 3.7818181818181817 0.31056886962893887 0.6915592854364581 0.11269035291407396 33.40082195370531 10.102853041982137 5.813284326139949e+39 1.527517162771796e+39 9.865126453406342e+39 9.659736291011001e+38 489.74909023323397 166.51602998912847 245212945616.7012 240727355723.95312 2.0802254795831856 0.3181104115163454 NeII|NeIII|NeV
"ESO  12-21" 10.19198817425 -79.24003722924 Sy1 0.033396756044708376 *|AGN|G|IR|Sy1|X 3190000000.0 0.0 12000000000.0 0.0 0.2658333333333333 nan 3190000000.0 0.0 6420000000.0 0.0 0.4968847352024922 nan 6420000000.0 0.0 12000000000.0 0.0 0.535 nan 0.21508369490617207 0.03860409079268917 28.656096724735818 16.950601102446953 2.0900701110798714e+37 1.3278704475332147e+37 3.2523404170443206e+37 1.2312133299168648e+37 4.828426087670747 3.564445634025986 46391431187.28613 18019007276.98409 1.8345684956900046 0.2635339312704195 NeII|NeIII|NeV
"ESO  33-2" 73.99551422113 -75.54118678611 Sy2 0.018426 *|AGN|G|GiG|IR|Sy2|X|gam 5570000000.0 560000000.0 2670000000.0 180000000.0 2.0861423220973783 0.252525703158059 6785000000.0 1146123902.5515523 10170000000.0 1146123902.5515523 0.6672661870503597 0.128648881118492 8340000000.0 560000000.0 2670000000.0 180000000.0 3.1235955056179776 0.29720980893000126 0.674260181496204 0.03453170490695483 67.57567918752548 4.811022533898796 1.3248389102385516e+35 7.597474582484904e+34 7.870941247065215e+36 6.212885886060033e+35 0.15222372436896445 0.07587804598350163 21726336302.477417 3059569911.089977 1.4324715001714983 0.15608599019169317 NeII|NeIII|NeV
"ESO 103-35" 279.58466867564 -65.42753939026 Sy2 0.013249 *|AGN|G|GiG|IR|Sy1|Sy2|X|gam 14766666666.666666 3644530148.0437775 26900000000.0 2205107707.1199946 0.5490387093348666 0.1243048399358605 15550000000.0 3644530148.0437775 36975000000.0 2012958022.413781 0.4252766117234943 0.08966031465330065 35633333333.333336 2012958022.413781 26900000000.0 2205107707.1199946 1.3086700699697356 0.11747120456821494 0.7044936315315119 0.014797220190180736 89.99999982141325 0.001336374947101555 1.5840985461020255e+34 7.920492730510127e+32 1.123824584541748e+37 5.6191229227087404e+35 0.8512914665170112 0.21442636192363027 6022998456.592411 994035267.0518552 2.3461220171854116 0.3703505951675363 NeII|NeIII|NeV
"ESO 113-45" 20.9406798056 -58.80578025804 Sy1 0.048174990836348686 *|AGN|BH?|G|IR|QSO|Sy1|X|gam 1895000000.0 377000000.0 2705000000.0 185000000.0 0.7459908688828649 0.19410549782383313 1895000000.0 377000000.0 4495000000.0 344000000.0 0.421721571111815 0.09139191384753025 4766666666.666667 505208867.6973119 2773333333.3333335 704716254.9565605 1.7639662603652937 0.5056986420242522 0.8999742860519958 0.0011337618986583427 39.955153392358525 0.672702601055624 1.498641760038191e+38 7.493208800190955e+36 2.381775962775678e+38 1.190887981387839e+37 2.434806016330171 0.7839294996766973 4698849173.159585 5712164120.198531 2.4632326280331562 0.39150542860742876 NeII|NeIII|NeV
"ESO 140-43" 281.22495536611 -62.3646872824 Sy1 0.014360633537977563 *|AGN|G|GiC|GiG|HI|IR|PaG|Sy1|X 7870000000.0 733458246.93707 10515000000.0 390978260.26519686 0.7541167951030223 0.07178625925625606 7870000000.0 733458246.93707 13950000000.0 388329756.778952 0.5641546762589928 0.055025491612362865 13950000000.0 388329756.778952 10515000000.0 390978260.26519686 1.3365442422255014 0.06345355183896349 0.8449216743466541 0.023033378285498337 15.953143736493487 14.304362447801081 2.9964742054853707e+36 8.092087049857778e+35 1.8057123026032003e+37 1.0388280143036413e+36 0.2528624838378014 0.26982293013915387 7425097870.129298 3652310022.0488653 0.7435500477581074 -0.12868979414449788 NeII|NeIII|NeV
"ESO 141-55" 290.30894745659 -58.6702728993 Sy1 0.03710900559079442 *|AGN|G|IR|QSO|Sy1|UV|X|gam 2250000000.0 0.0 2240000000.0 0.0 1.0044642857142858 nan 2250000000.0 0.0 5620000000.0 0.0 0.400355871886121 nan 5620000000.0 0.0 2240000000.0 0.0 2.5089285714285716 nan 0.7598412998295335 0.025516983775199183 30.585505798094914 9.05828330342495 7.800351889513009e+37 6.945787006324118e+36 1.1833693378071303e+38 6.881945647813747e+36 1.5729975099179896 1.7082825268362862 22043239894.941113 12839510605.080666 1.4350702975369394 0.15687317569343515 NeII|NeIII|NeV
"ESO 253-3" 81.32524166666667 -46.00593333333333 Sy2 0.042489 AGN|G|IR|Sy2 6810000000.0 310000000.0 16000000000.0 360000000.0 0.425625 0.021612523552709113 6810000000.0 310000000.0 18000000000.0 400000000.0 0.37833333333333335 0.019164796831318977 18000000000.0 400000000.0 16000000000.0 360000000.0 1.125 0.03557699616676484 0.627905189501387 0.03431059102412055 62.11542412242858 4.392038127448373 6.372819908812419e+35 8.19620291089114e+34 1.0163984758707354e+38 5.74366612676266e+36 15.481746172486092 1.6333651228311108 17387780951.939713 4377773107.509018 0.652734245072644 -0.18526360186516846 NeII|NeIII|NeV
"ESO 323-77" 196.60883952572 -40.41460989011 Sy2 0.014904 *|AGN|G|GiC|GiG|IR|Sy1|Sy2|X|gam 5440000000.0 1610000000.0 40200000000.0 1410000000.0 0.13532338308457711 0.04033002666277825 5440000000.0 1610000000.0 18100000000.0 1070000000.0 0.3005524861878453 0.09070741172629966 18100000000.0 1070000000.0 40200000000.0 1410000000.0 0.4502487562189055 0.030949267371563623 0.5138852736157349 0.02491184650439312 31.97571233333352 21.859591789727777 2.3197350846681396e+36 1.2311477321655806e+36 2.0546171438948036e+37 1.8145678044754203e+36 0.19718436509566936 0.24452788442134515 48475914102.02209 7100018767.688076 2.5838518005418343 0.4122676006339415 NeII|NeIII|NeV
"ESO 362-18" 79.89921622546 -32.65775642238 Sy2 0.012582037670874296 *|AGN|G|IR|Rad|Sy1|Sy2|X 3210000000.0 420594816.8962618 11170000000.0 311448230.0479487 0.2903055429350295 0.04146609757302234 3210000000.0 420594816.8962618 7325000000.0 261725046.56604803 0.43826312177875903 0.060236158268120586 10162500000.0 1033682736.6266692 11085000000.0 1047377677.822093 0.9219976383226043 0.14405742519436457 0.5332269793679558 0.029452825894770822 57.69540988955505 11.190438137091073 1.238486021415281e+35 1.5280747017208482e+35 3.9572139497017796e+36 3.719195537215335e+35 1.2284612866419446 0.07374797649134966 4914289797.82014 990381309.0193144 1.523005070788665 0.1827013493057537 NeII|NeIII|NeV
