id redshift xray_box_car_2to10keV xray_box_car_2to10keV_err xray_box_car_0p5to2keV xray_box_car_0p5to2keV_err FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err VLA_C VLA_C_err VLA_L VLA_L_err HI21cm HI21cm_err
"NGC  4477" 0.00449 nan nan nan nan 0.22401666699876077 0.03915477315485079 0.9028333177678288 0.09028333177678288 34.385500396601856 1.5606489093547755 101.80000100781521 2.3782720909799737 211.27333247661593 4.2254666495323185 334.68333063522977 6.792826406343026 500.4166696468989 10.00833339293798 388.7409097091718 64.52015999999999 426.0000050999224 25.278449000000002 252.73333142201105 18.090881 149.58250074982644 8.974950044989585 247.98332820733387 9.79086444515626 123.22500208616256 4.000010557798566 73.37777799268564 4.679194975208448 nan nan 62.48166827599208 3.4676118485926306 160.00000298023227 24.08318915758459 30.827778150637947 7.70637790116894 21.833333333333332 2.8198226894611653 19.95416698163996 2.548922655909551 nan nan 547.2500107288361 59.13351463726857 nan nan 594.5000052452087 80.89499 1237.4999737739563 171.13444737860706 1205.0000286102293 120.50000286102294 662.0000004768372 113.75851999999999 1180.0000214576723 118.00000214576724 458.49998712539673 39.0600819251573 163.33333611488342 17.112178898862258 44.94999953210354 7.827835177531031 nan nan nan nan nan nan
"LEDA   89511" 0.069615 nan nan nan nan 0.017899999875226058 0.004967897 0.03699999979289714 0.004879549 nan nan 0.7880000048317015 0.02333452377915607 nan nan nan nan 1.930000027641654 0.08 4.948928686124938 0.9786725000000002 11.005862134283987 2.116223 22.796296618051 2.6267853 51.9116665760676 3.114699994564056 63.76666580835978 1.9129999742507935 101.96666773955026 3.059000032186508 95.92142986655234 5.75528579199314 142.99999791383743 4.289999937415123 209.00000315904614 6.270000094771384 274.2499991059303 18.126292740902645 240.4999987549252 14.429999925295512 649.5833245714506 38.97499947428703 653.0 26.12 811.4999964237213 36.32148195933167 1042.499998807907 58.56833615529811 nan nan nan nan 1440.000057220459 300.0 675.000011920929 67.5000011920929 nan nan 331.9999873638153 35.0 112.0000034570694 7.840000241994859 46.59999907016754 4.0 nan nan nan nan nan nan nan nan
"2MASS J00105486+0014510" 0.24358 nan nan nan nan nan nan 0.027875000341737177 0.008501765 nan nan 0.09828102604212921 0.009826525499999999 0.214048717073941 0.016107141999999998 0.3233582270073799 0.023355087 0.4297024982406583 0.082872015 0.5294444466320177 0.17045821 nan nan 1.0911111409465473 0.22825424 0.8580512856537811 0.05148307713922686 0.9522499834783374 0.028567499504350124 1.027250019352883 0.03081750058058649 0.8983589696073666 0.05390153817644199 1.0105000000000002 0.09275521548678543 2.435 0.07305 nan nan 3.668333372235524 0.3734253433901992 9.307424168379017 1.8437190416909215 7.499999886900186 0.2999999954760075 nan nan nan nan nan nan 111.0 5.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"Z 218-7" 0.02734 nan nan nan nan 0.017866666288076278 0.005254521999999999 0.06800000119255856 0.006800000119255856 0.8867500049139683 0.017735000098279365 3.2078571415955337 0.06415714283191068 6.297285699734597 0.16757386803344398 4.420000012032688 0.2704163456597992 1.6899999463930726 0.09000000000000001 10.910000093281269 1.158361 15.209999866783619 1.6155494 13.000000268220901 1.7578396 9.658958238636453 0.5795374943181871 nan nan nan nan 7.518958323293676 0.45113749939762054 nan nan nan nan nan nan 39.80833327248693 2.3884999963492155 156.58333607017994 9.395000164210796 nan nan 269.0 8.07 1374.9999928474429 76.77058355906902 nan nan nan nan 2359.999961853028 149.48327665662137 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 10.193749867379667 0.6854925378267002
"Mrk  493" 0.03102 0.000241 1.38e-05 0.00179 9.93e-05 0.9840000129770488 0.09840000129770488 1.5449999773409218 0.15449999773409218 2.0465000154217705 0.06595452968270243 4.281499987700954 0.11608186076613013 7.197249901946634 0.23505317991599828 6.562500115251169 0.30866650052987565 12.65357160342059 0.3264199759566729 11.024545349011367 2.6446928 12.062500044703484 2.9365628 13.688888918194506 2.4289915 20.583333349972964 1.2350000009983777 23.75 0.7125 26.799999999999997 0.8039999999999999 24.529166643818222 1.4717499986290932 37.699999999999996 1.1309999999999998 60.4 1.8119999999999998 nan nan 67.06818093522028 4.024090856113217 154.11666658023992 9.246999994814395 154.0 6.16 230.33333289623258 34.30146109146118 713.3333311080933 43.33462617969903 nan nan nan nan 1326.666671435038 193.79435518305584 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.549999980386347 0.3379441515612306
"NGC  4941" 0.003703 nan nan nan nan 3.8800000911578536 0.38800000911578536 4.346666624769568 0.43466666247695684 0.5289999971864745 0.04011234 15.677499817684293 1.3097423274876971 19.89216597091096 1.629593796941748 25.18750019953586 2.896661796000085 24.30500090122223 3.4000147 128.72105013383063 32.318417000000004 94.66875030193478 15.459624999999999 61.786666636665664 13.647344 51.55000019127672 3.734808131109582 112.40000220537186 3.928896155410575 78.24999761581421 2.4074052421642684 39.14999998236696 3.161085295018192 138.19999797344207 7.457145901750883 120.05000149011612 4.66476151587624 184.00000017881393 26.127619485900357 115.13030407717734 10.80964819557428 313.29166820645327 23.51069324798878 347.6249930858612 13.904999723434448 527.0000050067903 33.38191875851357 1379.9999976158142 69.48426080775417 964.9999737739563 96.49999737739563 1850.000023841858 190.0 4190.00002861023 206.12435566909602 5330.0 983.0 nan nan 5250.000023841858 525.0000023841858 5580.0000826517735 400.3748310428148 2752.499997615814 198.55728880826814 965.9999907016754 139.28836805276393 nan nan nan nan 18.087500020489095 0.9420721621183857
"Mrk  883" 0.03787 nan nan nan nan 0.18725000336416997 0.02951271 0.34100000630132854 0.034100000630132854 0.931158341139356 0.01862316682278712 2.5823744376036 0.05164748875207201 4.325638239698057 0.08651276479396114 6.4613317919016335 0.12922663583803268 7.098003290394672 0.14196006580789344 8.678749785758555 1.2028716000000002 11.444374627899379 1.9449936 10.001999822755655 1.7432155 8.861666573037704 0.6334547548910577 nan nan nan nan 6.458333330113027 0.3874999998067816 nan nan nan nan nan nan 31.13749982435256 1.8682499894611535 172.70833189164597 10.362499913498757 nan nan 217.0 9.62 1065.0000071525574 51.722818948699995 nan nan nan nan 1159.999973773956 126.05157674539419 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 22.62999982088804 1.0606602082384398
"2MASS J22255427+1958370" 0.147 nan nan nan nan nan nan nan nan nan nan 0.18843185293552064 0.014024622 0.5004750020662284 0.0147268465 0.7952741355552462 0.14311184 1.0672200098399895 0.11195089000000001 1.1899999735760503 0.35937445 nan nan 2.5433332969745 0.5264029 4.721111143222078 0.28326666859332467 nan nan nan nan 7.93708336810892 0.4762250020865352 nan nan nan nan nan nan 19.44999982143442 1.1669999892860652 45.70833320568006 2.7424999923408038 43.54999962598086 1.7419999850392345 nan nan nan nan nan nan 166.99999570846558 6.679999828338623 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.449999979138374 0.8200610112611759
MCG+04-48-002 0.014810245826797951 nan nan nan nan nan nan nan nan nan nan 0.13499999477062374 0.007000000000000001 0.3209999995306134 0.013 0.7389999809674919 0.014779999619349837 1.3800000306218863 0.19 16.451666364446282 2.25231 40.92499893158674 2.4236748 24.430713849142194 3.756634 42.477778121166764 2.5486666872700057 24.350000000000005 0.7305000000000001 25.05 0.7515 42.5716668928663 2.554300013571978 79.55000000000001 2.3865000000000003 214.49999999999997 6.434999999999999 536.6666666666666 109.11003620199199 318.55555763509534 19.11333345810572 666.8333312140571 40.00999987284342 553.0 22.12 953.3333333333335 218.74663425982126 9040.0 1201.499063670047 11299.999904632568 1129.9999904632568 nan nan 14950.0 2708.232080158567 17700.0 1770.0 nan nan 11149.999809265137 1114.9999809265137 4975.000009536742 348.250000667572 1864.9999928474426 130.549999499321 585.4999871253967 48.33218389437829 nan nan nan nan 86.50000027120115 2.248332717409739
"3C 196" 0.87 nan nan nan nan nan nan nan nan 0.10250769096623677 0.0077569330000000014 0.20133333115760857 0.004242641 0.2716666688987364 0.007681145999999999 0.32466666743857786 0.0080622585 0.42350000148871914 0.020445048 0.7168571298409786 0.20178454000000004 nan nan nan nan 1.2800000117284556 0.07680000070370734 1.3099999632686377 0.03929999889805913 1.7099999822676182 0.051299999468028545 1.7823529393916182 0.10694117636349709 nan nan nan nan nan nan 6.396428647286125 0.3837857188371675 18.56538479339618 2.1014816266796204 18.49999977946282 0.9013878188659973 nan nan nan nan nan nan 12.200000000000001 3.3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 12227.499961853027 351.78118532309617
